"","Region","year","RptArea","Log_rfharv","Gui_Nonpelharv","gui_pDSRinNonpel","gui_var_pDSRinNonpel","GuiDSR","var_GuiDSR","sqrt_GuiDSR","GuiDSR_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pDSR","priv_var_pDSR","Priv_DSR","var_PrivDSR","sqrt_PrivDSR","PrivDSR_UPRLWR95","blank2","TotalDSRharv","var_totalDSRharv","sqrt_totalDSR","TotalDSR_UPRLWR95"
"306","SE",2012,"NSEO",8600,2133,0.901055409,0.000117774,1921.951187397,535.835072286,23.1481116354229,45.3702988054288,NA,4056.14035087719,2425591.28382108,0.287937743,0.000800897,1167.91589792281,216220.497175148,464.99515822764,911.390510126175,NA,3089.86708531981,216756.332247434,465.570974446898,912.51910991592
"307","SE",2013,"NSEO",6970,1675,0.868102288,0.000154314,1454.0713324,432.94721625,20.8073836954577,40.7824720430971,NA,3563.46380325597,1983952.15972031,0.277777778,0.000657762,989.851057251874,162740.139243959,403.410633528615,790.684841716086,NA,2443.92238965187,163173.086460209,403.94688569193,791.735895956182
"308","SE",2014,"NSEO",8688,2260,0.875,0.000132898,1977.5,678.7898248,26.0535952375099,51.0650466655195,NA,9722.2508839872,9687106.4801496,0.16745283,0.00032958,1628.01842449366,305976.118353826,553.151080947896,1084.17611865788,NA,3605.51842449366,306654.908178626,553.764307425665,1085.3780425543
"309","SE",2015,"NSEO",9156,2579,0.903455285,8.87323e-05,2330.011180015,590.1799117843,24.2936187461708,47.6154927424947,NA,4529.48035542233,3708908.49097668,0.3514377,0.000730542,1591.83015830481,475779.018380186,689.767365406762,1351.94403619725,NA,3921.84133831981,476369.19829197,690.195043659377,1352.78228557238
"310","SE",2016,"NSEO",5839,1492,0.930481283,8.65942e-05,1388.278074236,192.7642312288,13.883955892641,27.2125535495763,NA,1660.62785079242,405106.185098781,0.258964143,0.000383037,430.043068222392,28378.8701042545,168.460292366642,330.182173038618,NA,1818.32114245839,28571.6343354833,169.03145960289,331.301660821663
"311","SE",2017,"NSEO",9211,1716,0.918060201,0.000126006,1575.391304916,371.044323936,19.2625108419437,37.7545212502097,NA,6867.01714719272,4662505.66568143,0.169590643,0.000275058,1164.58185348444,148351.334840631,385.164036276274,754.921511101497,NA,2739.97315840044,148722.379164567,385.645405994376,755.864995748977
"312","SE",2018,"NSEO",11024,1835,0.882042254,0.000183499,1618.54753609,617.882420275,24.8572408017262,48.7201919713833,NA,7836.88364070585,7422148.53560271,0.18895966,0.000326072,1480.85486820734,287459.838895546,536.152813007211,1050.85951349413,NA,3099.40240429734,288077.721315821,536.728722275807,1051.98829566058
"313","SE",2019,"NSEO",11553,1628,0.751252086811352,0.00031249563356679,1223.03839732888,828.233427275284,NA,NA,NA,6640.66345167248,4892127.85531231,0.114942528735632,0.000167320302341267,763.294649617526,72830.8527733297,269.871919201183,528.948961634318,NA,1986.33304694641,73659.086200605,271.402074790531,531.948066589441
"314","SE",2020,"NSEO",3314,172,0.00735294117647059,2.28446805399873e-06,1.26470588235294,0.0675837029094984,0.25996865755221,0.509538568802332,NA,1085.57191634656,110201.419375961,0.00810810810810811,2.17950316829684e-05,8.80193445686404,35.3313531128185,5.94401826316327,11.6502757958,NA,10.066640339217,35.398936815728,5.9497005652157,11.6614131078228
"315","SE",2021,"NSEO",9732,638,0.0144717800289436,2.0670069002518e-05,9.23299565846599,8.41362756706094,NA,NA,NA,6262.89467835535,3588518.03593881,0.00851063829787234,1.79919132913329e-05,53.3012313051519,1030.19623056601,32.0966700853221,62.9094733672313,NA,62.5342269636179,1038.60985813307,32.2274705512715,63.1658422804922
"316","SE",2022,"NSEO",10558,884,0,0,0,0,0,0,NA,4984.01580854099,3115948.89301432,0,0,0,0,0,0,NA,0,0,0,0
"317","SE",1998,"SSEI",6261,3492,0.827732131,0.001072371,2890.440601452,13076.560605744,114.352790109135,224.131468613906,NA,7422.47676333871,2528282.45560498,0.709542718,0.001904978,5266.56433695119,1382633.58119648,1175.85440476127,2304.67463333209,NA,8157.00493840319,1395710.14180222,1181.40176984895,2315.54746890393
"318","SE",1999,"SSEI",7370,3538,0.827732131,0.001072371,2928.516279478,13423.343939724,115.859155614582,227.083945004581,NA,8737.20711480695,3503266.36269439,0.709542718,0.001904978,6199.42168396906,1915819.8508237,1384.13144275524,2712.89762780027,NA,9127.93796344706,1929243.19476342,1388.97199207307,2722.38510446321
"319","SE",2000,"SSEI",11989,6877,0.827732131,0.001072371,5692.313864887,50715.780038859,225.201643064297,441.395220406022,NA,14213.0768113189,9270520.18438958,0.709542718,0.001904978,10084.785151846,5069739.13997664,2251.60812309261,4413.15192126152,NA,15777.099016733,5120454.9200155,2262.84222163533,4435.17075440524
"320","SE",2001,"SSEI",9348,4834,0.827732131,0.001072371,4001.257121254,25058.689395276,158.299366376736,310.266758098402,NA,11082.1454693644,5636059.77962201,0.709542718,0.001904978,7863.25561760418,3082173.63121779,1755.61203892483,3440.99959629266,NA,11864.5127388582,3107232.32061306,1762.73433069566,3454.95928816349
"321","SE",2002,"SSEI",8033,4064,0.827732131,0.001072371,3363.903380384,17711.382383616,133.084117698604,260.844870689265,NA,9523.2001022041,4161919.8980246,0.709542718,0.001904978,6757.11728457578,2276015.56167177,1508.64693075344,2956.94798427674,NA,10121.0206649598,2293726.94405538,1514.50551139815,2968.43080234038
"322","SE",2003,"SSEI",11263,5615,0.827732131,0.001072371,4647.715915565,33809.954171475,183.874832893126,360.394672470527,NA,13352.3967074723,8181752.76003623,0.709542718,0.001904978,9474.09585163413,4474328.44933704,2115.2608466421,4145.91125941851,NA,14121.8117671991,4508138.40350852,2123.23771714533,4161.54592560485
"323","SE",2004,"SSEI",13195,7929,0.827732131,0.001072371,6563.088066699,67418.936366211,259.651567232341,508.917071775389,NA,15642.8016119237,11229410.8731841,0.709542718,0.001904978,11099.2359728591,6140991.30257266,2478.10235917983,4857.08062399247,NA,17662.3240395581,6208410.23893887,2491.66816388918,4883.66960122279
"324","SE",2005,"SSEI",15329,9584,0.827732131,0.001072371,7932.984743504,98500.553515776,313.847978352221,615.142037570353,NA,18172.6794929275,15155345.1625626,0.709542718,0.001904978,12894.2924007546,8287954.1840465,2878.88071723135,5642.60620577345,NA,20827.2771442586,8386454.73756227,2895.93762666986,5676.03774827293
"325","SE",2006,"SSEI",17714,11388,0.806709265,0.000249487,9186.80510982,32355.106802928,179.875253447849,352.555496757785,NA,21000.1203299444,20238180.4598216,0.751842752,0.000152931,15788.7882611966,11510524.5424937,3392.7163958241,6649.72413581524,NA,24975.5933710166,11542879.6492966,3397.48136849882,6659.06348225769
