"","Region","year","RptArea","Log_rfharv","Gui_pelharv","gui_pPel","gui_var_pPel","GuiPel","var_GuiPel","sqrt_GuiPel","GuiPel_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pPel","priv_var_pPel","Priv_Pel","var_PrivPel","sqrt_PrivPel","PrivPel_UPRLWR95","blank2","TotalPelharv","var_totalPelharv","sqrt_totalPel","TotalPel_UPRLWR95"
"350","SE",2019,"NSEO",11553,9925,NA,NA,9925,0,0,0,NA,6640.66345167248,4892127.85531231,0.863711001642036,0.000193609058033794,5735.6140814117,3658996.22053269,1912.85028701482,3749.18656254905,NA,15660.6140814117,3658996.22053269,1912.85028701482,3749.18656254905
"351","SE",2020,"NSEO",3314,3142,NA,NA,3142,0,0,0,NA,1085.57191634656,110201.419375961,0.649849958295162,0.0237205162937612,705.458864564214,77106.4725800016,277.680522507434,544.253824114571,NA,3847.45886456421,77106.4725800016,277.680522507434,544.253824114571
"352","SE",2021,"NSEO",9732,9094,NA,NA,9094,0,0,0,NA,6262.89467835535,3588518.03593881,0.649849958295162,0.0237205162937612,4069.94184553622,2530980.46308994,1590.90554813601,3118.17487434658,NA,13163.9418455362,2530980.46308994,1590.90554813601,3118.17487434658
"353","SE",2022,"NSEO",10558,9674,NA,NA,9674,0,0,0,NA,4984.015808541,3116937.65814128,0.973913043478261,5.53516932923137e-05,4853.99800483993,2957983.47793887,1719.87891374331,3370.96267093689,NA,14527.9980048399,2957983.47793887,1719.87891374331,3370.96267093689
"354","SE",2023,"NSEO",14337,13719,NA,NA,13719,0,0,0,NA,18770.2219843733,48858955.4862636,0.994623655913978,9.60042910285494e-06,18669.3068124143,48338854.1472768,6952.6149143525,13627.1252321309,NA,32388.3068124143,48338854.1472768,6952.6149143525,13627.1252321309
"355","SE",2024,"NSEO",15816,15088,NA,NA,15088,0,0,0,NA,19906.2349385452,40581683.3942191,0.960556844547564,8.81102161404444e-05,19121.0702193914,37481969.6182532,6122.25200545136,11999.6139306847,NA,34209.0702193914,37481969.6182532,6122.25200545136,11999.6139306847
"356","SE",1998,"SSEI",6261,2769,0.39134369037234,0.014294231035248,2769,109599.02956465,331.057441488105,648.872585316686,NA,7422.47676333871,2528282.45560498,0.181105049970108,0.00289380108485485,1344.24802512642,249670.231637155,499.6701228182,979.353440723672,NA,4113.24802512642,359269.261201805,599.390741671746,1174.80585367662
"357","SE",1999,"SSEI",7370,3832,0.39134369037234,0.014294231035248,3832,209899.690429334,458.148109708349,897.970295028364,NA,8737.20711480695,3503266.36269439,0.181105049970108,0.00289380108485485,1582.3523311263,345950.794509338,588.175819385104,1152.8246059948,NA,5414.3523311263,555850.484938672,745.553810894071,1461.28546935238
"358","SE",2000,"SSEI",11989,5112,0.39134369037234,0.014294231035248,5112,373544.621474784,611.182968901117,1197.91861904619,NA,14213.0768113189,9270520.18438958,0.181105049970108,0.00289380108485485,2574.0599861429,915472.445217609,956.803242687654,1875.3343556678,NA,7686.0599861429,1289017.06669239,1135.3488744401,2225.28379390259
"359","SE",2001,"SSEI",9348,4514,0.39134369037234,0.014294231035248,4514,291262.053243496,539.686995621996,1057.78651141911,NA,11082.1454693644,5636059.77962201,0.181105049970108,0.00289380108485485,2007.03250900524,556566.117673894,746.033590178012,1462.2258367489,NA,6521.03250900524,847828.17091739,920.775852701074,1804.72067129411
"360","SE",2002,"SSEI",8033,3969,0.39134369037234,0.014294231035248,3969,225176.464023251,474.527621981325,930.074139083397,NA,9523.2001022041,4161919.8980246,0.181105049970108,0.00289380108485485,1724.69963038501,410993.440504038,641.087701101837,1256.5318941596,NA,5693.69963038501,636169.90452729,797.602598119696,1563.3010923146
"361","SE",2003,"SSEI",11263,5648,0.39134369037234,0.014294231035248,5648,455984.597778232,675.266316188089,1323.52197972865,NA,13352.3967074723,8181752.76003623,0.181105049970108,0.00289380108485485,2418.18647292747,807955.654744036,898.863535106434,1761.77252880861,NA,8066.18647292747,1263940.25252227,1124.25097399214,2203.53190902459
"362","SE",2004,"SSEI",13195,5266,0.39134369037234,0.014294231035248,5266,396389.83304609,629.594975397747,1234.00615177958,NA,15642.8016119237,11229410.8731841,0.181105049970108,0.00289380108485485,2832.99036759993,1108914.71308565,1053.05019495067,2063.97838210331,NA,8098.99036759993,1505304.54613173,1226.90853209672,2404.74072290958
"363","SE",2005,"SSEI",15329,5745,0.39134369037234,0.014294231035248,5745,471781.452674136,686.863489111291,1346.25243865813,NA,18172.6794929275,15155345.1625626,0.181105049970108,0.00289380108485485,3291.16402765739,1496604.35640393,1223.35782026516,2397.78132771972,NA,9036.16402765739,1968385.80907807,1402.99173521374,2749.86380101894
"364","SE",2006,"SSEI",17714,6326,NA,NA,6326,0,0,0,NA,21000.1203299444,20238180.4598216,0.139230139230139,9.82336947213896e-05,2923.84967738783,437627.396231378,661.534123255466,1296.60688158071,NA,9249.84967738783,437627.396231378,661.534123255466,1296.60688158071
"365","SE",2007,"SSEI",20368,8353,NA,NA,8353,0,0,0,NA,24146.4632991028,26756848.2789062,0.113764927718416,6.34103578236727e-05,2747.02065187782,384967.583506714,620.457559794958,1216.09681719812,NA,11100.0206518778,384967.583506714,620.457559794958,1216.09681719812
"366","SE",2008,"SSEI",18756,8206,NA,NA,8206,0,0,0,NA,22235.4215258235,22689171.1729488,0.189526184538653,0.000127792021558131,4214.19460339796,881080.646466159,938.658961746043,1839.77156502224,NA,12420.194603398,881080.646466159,938.658961746043,1839.77156502224
