"Region","year","RptArea","Log_rfharv","Gui_nonpelharv","Gui_Yeh","gui_pYEinNonpel","gui_var_pYEinNonpel","GuiYE","var_GuiYE","sqrt_GuiYE","GuiYE_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pYE","priv_var_pYE","gui_pYE","var_gui_pYE","Priv_YE","var_PrivYE","sqrt_PrivYE","PrivYE_UPRLWR95","blank2","TotalYEharv","var_totalYEharv","sqrt_totalYE","TotalYE_UPRLWR95"
"SE",2003,"CSEO",15272,8561,NA,0.471609239,0.024346363,4037.446695079,1784362.49799772,1335.80032115497,2618.16862946374,NA,2314.69883116483,596225.202401773,0.143502775,0.00171893,NA,NA,332.165705561409,22512.6985536168,150.042322541398,294.082952181139,NA,4369.61240064041,1806875.19655134,1344.20057898788,2634.63313481624
"SE",2004,"CSEO",21796,12007,NA,0.471609239,0.024346363,5662.612132673,3509967.65395579,1873.49076697906,3672.04190327896,NA,3303.50810136646,1214428.91038436,0.143502775,0.00171893,NA,NA,474.062579781068,45855.2772746714,214.138453517044,419.711368893407,NA,6136.67471245407,3555822.93123046,1885.68898051361,3695.95040180668
"SE",2005,"CSEO",27304,14418,NA,0.471609239,0.024346363,6799.662007902,5061090.87448081,2249.68683920247,4409.38620483685,NA,4138.32745456551,1905772.47191312,0.143502775,0.00171893,NA,NA,593.861473588837,71959.5230109878,268.252722280665,525.775335670104,NA,7393.52348149084,5133050.3974918,2265.62362220467,4440.62229952115
"SE",2006,"CSEO",33748,13609,9779,NA,NA,9779,0,0,0,NA,5115.01153445198,2911485.15300989,0.175675676,0.000280104,NA,NA,898.583109062649,97998.0649037803,313.046426115649,613.570995186671,NA,10677.5831090626,97998.0649037803,313.046426115649,613.570995186671
"SE",2007,"CSEO",38443,14388,9950,NA,NA,9950,0,0,0,NA,5826.60864107317,3777922.47883726,0.188202247,0.000430372,NA,NA,1096.58083863959,150051.107823156,387.36430891753,759.234045478359,NA,11046.5808386396,150051.107823156,387.36430891753,759.234045478359
"SE",2008,"CSEO",52901,15276,8863,NA,NA,8863,0,0,0,NA,8017.9336607812,7153955.95984754,0.108365019,0.000184042,NA,NA,868.863533491294,97156.9270507908,311.700059433409,610.932116489482,NA,9731.86353349129,97156.9270507908,311.700059433409,610.932116489482
"SE",2009,"CSEO",31717,9427,6423,NA,NA,6423,0,0,0,NA,4807.18326532575,2571595.77342618,0.1,0.000231362,NA,NA,480.718326532575,31657.4742661807,177.925473910232,348.733928864055,NA,6903.71832653257,31657.4742661807,177.925473910232,348.733928864055
"SE",2010,"CSEO",43813,13028,7150,NA,NA,7150,0,0,0,NA,6640.51204097856,4907095.18265662,0.100110011,9.92159e-05,NA,NA,664.781733467996,54040.9039981222,232.46699550285,455.635311185586,NA,7814.781733468,54040.9039981222,232.46699550285,455.635311185586
"SE",2011,"CSEO",58843,12339,4215,NA,NA,4215,0,0,0,NA,9637.96803839231,7141508.80309229,0.175070028,0.000202553,NA,NA,1687.31933434445,239145.547945416,489.02509950453,958.48919502888,NA,5902.31933434445,239145.547945416,489.02509950453,958.48919502888
"SE",2012,"CSEO",57675,14295,4550,NA,NA,4550,0,0,0,NA,6152.58763969815,1027468.70625185,0.144992526,0.000185583,NA,NA,892.079223316213,28816.1043239106,169.753068673031,332.71601459914,NA,5442.07922331621,28816.1043239106,169.753068673031,332.71601459914
"SE",2013,"CSEO",60735,12452,4216,NA,NA,4216,0,0,0,NA,9629.98716381418,3833914.13233448,0.09912854,9.7385e-05,NA,NA,954.60656776764,47078.3570571394,216.975475704374,425.271932380573,NA,5170.60656776764,47078.3570571394,216.975475704374,425.271932380573
"SE",2014,"CSEO",73709,13508,4240,NA,NA,4240,0,0,0,NA,12999.0528964621,10006306.8184141,0.094339623,8.06796e-05,NA,NA,1226.32574960929,103495.945731269,321.707857739392,630.547401169207,NA,5466.32574960929,103495.945731269,321.707857739392,630.547401169207
"SE",2015,"CSEO",80105,16888,5352,NA,NA,5352,0,0,0,NA,8154.54599031177,3137762.11054326,0.121836926,0.000100368,NA,NA,993.524816385212,53566.7466607421,231.444910639102,453.632024852641,NA,6345.52481638521,53566.7466607421,231.444910639102,453.632024852641
"SE",2016,"CSEO",54908,12620,5433,NA,NA,5433,0,0,0,NA,8439.77214221996,2423165.61916061,0.123720137,9.2582e-05,NA,NA,1044.16976568424,43909.5366462494,209.546025126342,410.71020924763,NA,6477.16976568424,43909.5366462494,209.546025126342,410.71020924763
"SE",2017,"CSEO",57388,11329,4871,NA,NA,4871,0,0,0,NA,14552.0829034384,13249322.287968,0.208115183,0.000215994,NA,NA,3028.50939648025,622455.048244239,788.958204370954,1546.35808056707,NA,7899.50939648025,622455.048244239,788.958204370954,1546.35808056707
"SE",2018,"CSEO",55460,10517,4329,NA,NA,4329,0,0,0,NA,6239.04732072004,1305580.49638512,0.17302799,0.000182279,NA,NA,1079.52981741907,46420.683314069,215.45459687384,422.291009872727,NA,5408.52981741907,46420.683314069,215.45459687384,422.291009872727
"SE",2019,"CSEO",59842,8780,3968,NA,NA,3968,0,0,0,NA,9834.2503043694,3923387.55156857,0.189261744966443,0.000206238893627285,NA,NA,1861.24737304173,161290.803693926,401.610263432007,787.156116326733,NA,5829.24737304173,161290.803693926,401.610263432007,787.156116326733
"SE",2020,"CSEO",24728,824,9,NA,NA,9,0,0,0,NA,5579.58251293176,3148769.52383551,0.0027027027027027,7.30460189919649e-06,NA,NA,15.0799527376534,273.405990257742,16.5349929016538,32.4085860872415,NA,24.0799527376534,273.405990257742,16.5349929016538,32.4085860872415
"SE",2021,"CSEO",56521,2821,10,NA,NA,10,0,0,0,NA,6300.38324569167,1468791.0672019,0,0,NA,NA,0,0,0,0,NA,10,0,0,0
"SE",2022,"CSEO",67729,3398,32,NA,NA,32,0,0,0,NA,11225.9394255958,5308381.62346721,0.00173913043478261,3.02457466918715e-06,NA,NA,19.5233729140797,413.273283127655,20.3291240127964,39.8450830650809,NA,51.5233729140797,413.273283127655,20.3291240127964,39.8450830650809
"SE",2023,"CSEO",51033,2561,3,NA,NA,3,0,0,0,NA,9405.04802722803,3870986.23769378,0.00251256281407035,3.15251552474931e-06,NA,NA,23.6307739377588,315.496306537697,17.762215698997,34.8139427700342,NA,26.6307739377588,315.496306537697,17.762215698997,34.8139427700342
"SE",2024,"CSEO",52729,3877,1,NA,NA,1,0,0,0,NA,7538.7827630995,1878396.63089439,0.002389486260454,2.85140743524534e-06,NA,NA,18.0138178329737,178.135790207194,13.3467520471159,26.1596340123473,NA,19.0138178329737,178.135790207194,13.3467520471159,26.1596340123473
"SE",1998,"EWYKT",1305,606,NA,0.191657478,0.0019487,116.144431668,715.6327932,26.7513138593229,52.4325751642728,NA,340.03895326402,27091.9385422038,0.015299545,0.000235537,NA,NA,5.20244126721578,39.9570451394659,6.32115852826568,12.3894707154007,NA,121.346872935216,755.589838339466,27.487994440109,53.8764691026137
"SE",1999,"EWYKT",663,116,NA,0.191657478,0.0019487,22.232267448,26.2217072,5.1207135440288,10.0365985462964,NA,172.755422232985,6992.71962129621,0.015299545,0.000235537,NA,NA,2.64307935644756,10.3133414805478,3.21143916033728,6.29442075426106,NA,24.8753468044476,36.5350486805478,6.04442294024399,11.8470689628782
"SE",2000,"EWYKT",1199,142,NA,0.191657478,0.0019487,27.215361876,39.2935868,6.26845968320767,12.286180979087,NA,312.41893100656,22869.5397543845,0.015299545,0.000235537,NA,NA,4.77986749378675,33.7295624254144,5.8077157665828,11.3831229025023,NA,31.9952293697868,73.0231492254144,8.54535834388555,16.7489023540157
"SE",2001,"EWYKT",1043,152,NA,0.191657478,0.0019487,29.131936656,45.0227648,6.70990050596877,13.1514049916988,NA,271.770596363504,17305.6404052776,0.015299545,0.000235537,NA,NA,4.15796646874027,25.5235428710224,5.05208302297403,9.90208272502909,NA,33.2899031247403,70.5463076710224,8.39918494087506,16.4624024841151
"SE",2002,"EWYKT",893,102,NA,0.191657478,0.0019487,19.549062756,20.2742748,4.50269639216326,8.82528492863998,NA,232.68565920672,12685.9202293225,0.015299545,0.000235537,NA,NA,3.55998471388788,18.7100633809967,4.32551307719636,8.47800563130487,NA,23.1090474698879,38.9843381809967,6.24374392340019,12.2377380898644
"SE",2003,"EWYKT",1627,443,NA,0.191657478,0.0019487,84.904262754,382.4304263,19.5558284483169,38.3294237587011,NA,423.94128502725,42110.8651847656,0.015299545,0.000235537,NA,NA,6.48610876763224,62.1079860501105,7.8808620118684,15.4464895432621,NA,91.3903715216322,444.538412350111,21.0840795945688,41.3247960053548
"SE",2004,"EWYKT",1501,378,NA,0.191657478,0.0019487,72.446526684,278.4380508,16.6864631003697,32.7054676767246,NA,391.109937815551,35841.026777366,0.015299545,0.000235537,NA,NA,5.98380409355623,52.8607992579451,7.27054325741516,14.2502647845337,NA,78.4303307775562,331.298850057945,18.2016166880293,35.6751687085373
"SE",2005,"EWYKT",1676,284,NA,0.191657478,0.0019487,54.430723752,157.1743472,12.5369193664153,24.5723619581741,NA,436.709031165133,44685.5478683669,0.015299545,0.000235537,NA,NA,6.68144947421735,65.9053042836579,8.11820819415577,15.9116880605453,NA,61.1121732262174,223.079651483658,14.9358512138966,29.2742683792374
"SE",2006,"EWYKT",2529,440,167,NA,NA,167,0,0,0,NA,658.972040463378,101745.852995527,0,0,NA,NA,0,0,0,0,NA,167,0,0,0
