"Region","year","RptArea","Log_rfharv","Gui_pelharv","gui_pBRFinPel","gui_var_pBRFinPel","GuiBRF","var_GuiBRF","sqrt_GuiBRF","GuiBRF_UPRLWR95","blank","PRIV_rfharv","var_PRIV_rfharv","priv_pBRF","priv_var_pBRF","PRIV_BRF","var_PrivBRF","sqrt_PrivBRF","PrivBRF_UPRLWR95","blank2","TotalBRFharv","var_totalBRFharv","sqrt_totalBRF","TotalBRF_UPRLWR95"
"SE",2012,"NSEO",8600,6467,0.957023061,2.15679e-05,6189.068135487,902.0146333431,30.033558452889,58.8657745676624,NA,4056.14035087719,2425591.28382108,0.680933852,0.000848683,2761.96327337544,1140697.44360285,1068.03438315573,2093.34739098524,NA,8951.03140886244,1141599.45823619,1068.45657760912,2094.17489211387
"SE",2013,"NSEO",6970,5295,0.92766653,2.74331e-05,4911.99427635,769.1425105275,27.7334186592187,54.3575005720687,NA,3563.46380325597,1983952.15972031,0.679738562,0.000713751,2422.22376136427,927153.66259974,962.888188005097,1887.26084848999,NA,7334.21803771427,927922.805110267,963.287498678493,1888.04349740985
"SE",2014,"NSEO",8688,6428,0.933174224,2.97804e-05,5998.443911872,1230.5018271936,35.0785094779353,68.7538785767533,NA,9722.2508839872,9687106.4801496,0.773584906,0.000414069,7520.98653619766,5840239.89797899,2416.65882945421,4736.65130573025,NA,13519.4304480697,5841470.39980618,2416.91340345619,4737.15027077413
"SE",2015,"NSEO",9156,6577,0.951444119,1.9346e-05,6257.647970663,836.848548434,28.9283346985961,56.6995360092484,NA,4529.48035542233,3708908.49097668,0.619808307,0.000755276,2807.40955068407,1443119.59241108,1201.2991269501,2354.5462888222,NA,9065.05752134707,1443956.44095951,1201.64738628248,2355.22887711366
"SE",2016,"NSEO",5839,4347,0.903883495,4.21943e-05,3929.181552765,797.3207502687,28.2368686342643,55.3442625231581,NA,1660.62785079242,405106.185098781,0.673306773,0.000439051,1118.11197937097,185040.279016708,430.163084209592,843.1196450508,NA,5047.29353213597,185837.599766977,431.088853679815,844.934153212438
"SE",2017,"NSEO",9211,7495,0.901328273,3.37645e-05,6755.455406135,1896.7216316125,43.5513677352675,85.3606807611243,NA,6867.01714719272,4662505.66568143,0.744639376,0.00037139,5113.45136346688,2604547.35718099,1613.8610092511,3163.16757813216,NA,11868.9067696019,2606444.0788126,1614.4485370592,3164.31913263604
"SE",2018,"NSEO",11024,9189,0.912785245,2.48932e-05,8387.583616305,2101.9250763972,45.8467564435828,89.8596426294223,NA,7836.88364070585,7422148.53560271,0.738853503,0.00041053,5790.30893053891,4080044.70809965,2019.91205454585,3959.02762690987,NA,14177.8925468439,4082146.63317605,2020.43228868875,3960.04728582994
"SE",2019,"NSEO",11553,9925,0.887853470437018,3.20056848183739e-05,8811.9456940874,3152.73998658693,56.1492652363941,110.052559863332,NA,6640.66345167248,4892127.85531231,0.773399014778325,0.000288245030786581,5135.88257099793,2940328.16395737,1714.73851183128,3360.88748318932,NA,13947.8282650853,2943480.90394396,1715.65757187848,3362.68884088182
"SE",2020,"NSEO",3314,3142,0.970588235294118,0.000119442312982294,3049.58823529412,1179.15410230054,34.3388133502096,67.3040741664109,NA,1085.57191634656,110201.419375961,0.883783783783784,0.000278346903264504,959.41085579818,86434.135498189,293.996829061453,576.233784960447,NA,4008.9990910923,87613.2896004895,295.99542158704,580.151026310598
"SE",2021,"NSEO",9732,9094,0.852941176470588,0.000737838387950336,7756.64705882353,61019.8515163851,247.021965655658,484.16305268509,NA,6262.89467835535,3588518.03593881,0.897872340425532,0.000195517272333283,5623.27990269353,2901343.15090817,1703.33295362597,3338.5325891069,NA,13379.9269615171,2962363.00242455,1721.15165003685,3373.45723407222
