"","Region","year","RptArea","Log_rfrel","Gui_pelrel","gui_pBRFinPel","gui_var_pBRFinPel","GuiBRF","var_GuiBRF","sqrt_GuiBRF","GuiBRF_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pBRF","priv_var_pBRF","PRIV_BRF","var_PrivBRF","sqrt_PrivBRF","PrivBRF_UPRLWR95","blank2","TotalBRFrel","var_totalBRFrel","sqrt_totalBRF","TotalBRF_UPRLWR95"
"137","SC",2007,"PWSI",2121,1791,0.919219968,0.00032856,1646.322962688,1053.91566936,32.4640673570026,63.629572019725,NA,9004.46773610096,18113927.4046815,0.632294256,0.000733433,5693.47322787396,7314628.61662393,2704.55700931297,5300.93173825343,NA,7339.79619056196,7315682.53229329,2704.75184301505,5301.31361230949
"138","SC",2008,"PWSI",1254,979,0.827214298,0.001006555,809.842797742,964.723580755,31.0599996901964,60.8775993927849,NA,5323.71642671882,6331787.90365804,0.570206157,0.00046066,3035.61588463711,2074659.05647809,1440.36768100304,2823.12065476597,NA,3845.45868237911,2075623.78005884,1440.70253003833,2823.77695887512
"139","SC",2009,"PWSI",721,603,0.861424631,0.000540146,519.439052493,196.401946914,14.0143478947113,27.4681218736342,NA,3060.92467596831,2093157.05253587,0.339187596,0.000468911,1038.22768237877,246188.857509589,496.174220924051,972.50147301114,NA,1557.66673487177,246385.259456503,496.372097781999,972.889311652719
"140","SC",2010,"PWSI",749,588,0.869305444,0.000507203,511.151601072,175.362394032,13.2424466784654,25.9551954897922,NA,3179.79553717097,2258889.15962703,0.571793706,0.00052655,1818.18707452125,745052.805946816,863.164414203236,1691.80225183834,NA,2329.33867559325,745228.168340848,863.265989334022,1692.00133909468
"141","SC",2011,"PWSI",376,303,0.795681572,0.000615805,241.091516316,56.536441245,7.51907183400983,14.7373807946593,NA,1849.23851478918,1977358.22853037,0.591048584,0.000485362,1092.98980564441,693386.735195606,832.698465950074,1632.08899326214,NA,1334.08132196041,693443.271636851,832.732412985619,1632.15552945181
"142","SC",2012,"PWSI",895,682,0.846586207,0.000383121,577.371793174,178.198772004,13.3491112814299,26.1642581116027,NA,3391.79151624549,8025139.90987966,0.324685055,0.000484028,1101.2640150007,855466.109888796,924.914109465736,1812.83165455284,NA,1678.6358081747,855644.3086608,925.010437055064,1813.02045662793
"143","SC",2013,"PWSI",534,456,0.792068659,0.000445124,361.183308504,92.557304064,9.62067066601908,18.8565145053974,NA,2868.07121661721,7105054.96489599,0.273217231,0.000305492,783.606476114956,535059.157490391,731.477380026472,1433.69566485188,NA,1144.78978461896,535151.714794455,731.54064466334,1433.81966354015
"144","SC",2014,"PWSI",714,524,0.788201509,0.000324155,413.017590716,89.00518328,9.43425584134753,18.4911414490412,NA,2887.67368421053,7498565.55502285,0.150144051,0.000258301,433.567024913463,173132.70436741,416.092182535805,815.540677770178,NA,846.584615629463,173221.70955069,416.199122477078,815.750280055072
"145","SC",2015,"PWSI",563,464,0.844355665,0.000374414,391.78102856,80.609836544,8.9782980872769,17.5974642510627,NA,3102.53114100648,6796012.90221313,0.089524673,0.000165671,277.753085870922,57188.3823660121,239.140925744658,468.71621445953,NA,669.534114430922,57268.9922025561,239.309406840926,469.046437408216
"146","SC",2016,"PWSI",901,720,0.622891412,0.000394124,448.48181664,204.3138816,14.2938406875129,28.0159277475253,NA,2899.70160167131,5851468.8366538,0.338477408,0.001777067,981.483482107153,695725.481354523,834.101601337944,1634.83913862237,NA,1429.96529874715,695929.795236123,834.224067763645,1635.07917281674
