"","Region","year","RptArea","Log_rfrel","Gui_nonpelrel","Gui_Yer","gui_pYEinNonpel","gui_var_pYEinNonpel","GuiYE","var_GuiYE","sqrt_GuiYE","GuiYE_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pYE","priv_var_pYE","gui_pYE","var_gui_pYE","Priv_YE","var_PrivYE","sqrt_PrivYE","PrivYE_UPRLWR95","blank2","TotalYErel","var_totalYErel","sqrt_totalYE","TotalYE_UPRLWR95"
"276","SE",2009,"NSEI",1738,306,93,NA,NA,93,0,0,0,NA,2501.39487409846,1400861.25281166,0.21719457,0.000772823,NA,NA,543.28938408002,72001.6550294007,268.331241247456,525.929232845015,NA,636.28938408002,72001.6550294007,268.331241247456,525.929232845015
"277","SE",2010,"NSEI",1607,533,122,NA,NA,122,0,0,0,NA,2312.85475412901,1197642.86736942,0.161369193,0.000331689,NA,NA,373.223505200013,33358.1879422716,182.642240301283,357.978790990514,NA,495.223505200013,33358.1879422716,182.642240301283,357.978790990514
"278","SE",2011,"NSEI",1442,429,51,NA,NA,51,0,0,0,NA,1731.91590013141,874226.185743456,0.183908046,0.000432524,NA,NA,318.513269029498,31243.7198156044,176.758931360213,346.447505466017,NA,369.513269029498,31243.7198156044,176.758931360213,346.447505466017
"279","SE",2012,"NSEI",1202,549,159,NA,NA,159,0,0,0,NA,2392.91011904762,3409167.61911695,0.068093385,0.000123697,NA,NA,162.941350006705,16937.3136165527,130.143434780832,255.081132170431,NA,321.941350006705,16937.3136165527,130.143434780832,255.081132170431
"280","SE",2013,"NSEI",940,281,101,NA,NA,101,0,0,0,NA,1650.46132500867,967135.274607714,0.080366226,7.53e-05,NA,NA,132.641347849906,6524.41007125406,80.7738204572129,158.316688096137,NA,233.641347849906,6524.41007125406,80.7738204572129,158.316688096137
"281","SE",2014,"NSEI",1454,428,75,NA,NA,75,0,0,0,NA,1367.71820486059,1884001.59703225,0.065004452,5.42e-05,NA,NA,88.9077723973866,8164.49945349074,90.35761978655,177.100934781638,NA,163.907772397387,8164.49945349074,90.35761978655,177.100934781638
"282","SE",2015,"NSEI",1252,404,73,NA,NA,73,0,0,0,NA,1286.32760649565,807027.488687697,0.073190789,5.58e-05,NA,NA,94.1473324318979,4460.51974459074,66.7871225955329,130.902760287245,NA,167.147332431898,4460.51974459074,66.7871225955329,130.902760287245
"283","SE",2016,"NSEI",1537,554,73,NA,NA,73,0,0,0,NA,1900.11878574571,2125067.19137228,0.064073227,4.58e-05,NA,NA,121.746742286049,8986.89173615318,94.7992180144603,185.806467308342,NA,194.746742286049,8986.89173615318,94.7992180144603,185.806467308342
"284","SE",2017,"NSEI",1943,752,90,NA,NA,90,0,0,0,NA,3475.21715462704,5155138.9606057,0.077260755,6.26e-05,NA,NA,268.497901155437,31850.9208680101,178.468262915315,349.797795314018,NA,358.497901155437,31850.9208680101,178.468262915315,349.797795314018
"285","SE",2018,"NSEI",3774,2103,260,NA,NA,260,0,0,0,NA,8251.05514157973,44703940.9758877,0.081145585,5.94e-05,NA,NA,669.536696330745,301057.197212852,548.686793364714,1075.42611499484,NA,929.536696330745,301057.197212852,548.686793364714,1075.42611499484
