"","Region","year","RptArea","Log_rfrel","Gui_pelrel","gui_pPel","gui_var_pPel","GuiPel","var_GuiPel","sqrt_GuiPel","GuiPel_UPRLWR95","blank","PRIV_rfrel","var_PRIV_rfrel","priv_pPel","priv_var_pPel","Priv_Pel","var_PrivPel","sqrt_PrivPel","PrivPel_UPRLWR95","blank2","TotalPelrel","var_totalPelrel","sqrt_totalPel","TotalPel_UPRLWR95"
"232","SE",2014,"CSEO",2622,1508,NA,NA,1508,0,0,0,NA,3265.00607952678,5538426.38296565,0.623584905660377,0.000221649453345529,2036.00850808227,2157252.58274254,1468.7588579282,2878.76736153927,NA,3544.00850808227,2157252.58274254,1468.7588579282,2878.76736153927
"233","SE",2015,"CSEO",3178,1623,NA,NA,1623,0,0,0,NA,1201.02672548002,773658.924890229,0.611059044048735,0.000222951115136005,733.898242748804,289373.034445289,537.934042839165,1054.35072396476,NA,2356.8982427488,289373.034445289,537.934042839165,1054.35072396476
"234","SE",2016,"CSEO",3587,1652,NA,NA,1652,0,0,0,NA,3568.6110221083,3499836.0048138,0.546928327645051,0.000211612068372706,1951.77445833739,1050343.512528,1024.8626798396,2008.73085248561,NA,3603.77445833739,1050343.512528,1024.8626798396,2008.73085248561
"235","SE",2017,"CSEO",5317,2001,NA,NA,2001,0,0,0,NA,2561.43215258856,4371531.43065873,0.532722513089005,0.000326250638449725,1364.53257343396,1244177.94967911,1115.42724983708,2186.23740968067,NA,3365.53257343396,1244177.94967911,1115.42724983708,2186.23740968067
"236","SE",2018,"CSEO",5432,1905,NA,NA,1905,0,0,0,NA,2198.90431095406,1795545.67996348,0.634860050890585,0.000295302887482533,1395.99650275582,725647.882485705,851.849683034339,1669.62537874731,NA,3300.99650275582,725647.882485705,851.849683034339,1669.62537874731
"237","SE",2019,"CSEO",6082,2280,NA,NA,2280,0,0,0,NA,4129.68202895808,6461933.03596563,0.648322147651007,0.000306452339403485,2677.36432212987,2723296.67543059,1650.2413991385,3234.47314231146,NA,4957.36432212987,2723296.67543059,1650.2413991385,3234.47314231146
"238","SE",2020,"CSEO",4441,1127,NA,NA,1127,0,0,0,NA,9569.96347607053,31121567.4321015,0.940540540540541,0.000151555642656499,9000.93862073661,27549249.0693122,5248.7378548859,10287.5261955764,NA,10127.9386207366,27549249.0693122,5248.7378548859,10287.5261955764
"239","SE",2021,"CSEO",9236,2091,NA,NA,2091,0,0,0,NA,6688.93731496975,13073339.323194,0.959574468085106,8.27106786445449e-05,6418.53346606672,12042492.6273839,3470.22947762592,6801.6497761468,NA,8509.53346606672,12042492.6273839,3470.22947762592,6801.6497761468
"240","SE",2022,"CSEO",8546,2249,NA,NA,2249,0,0,0,NA,4624.7180385289,9055878.80232562,0.92695652173913,0.000117958412098299,4286.91254701896,7784840.42346366,2790.13268922173,5468.66007087458,NA,6535.91254701896,7784840.42346366,2790.13268922173,5468.66007087458
"241","SE",1999,"NSEI",6691,5046,0.658473355230599,0.00957302887023125,5046,243749.571565177,493.710007560285,967.671614818159,NA,9629.93849401197,20762404.0573427,0.481909605455261,0.0139632864583167,4640.75986020774,6406602.44134063,2531.12671380566,4961.00835905909,NA,9686.75986020774,6650352.01290581,2578.82764311728,5054.50218050986
