"Region","year","RptArea","rfrel","pelagic_rel","nonpel_rel","ye_rel","not_ye_nonpel_rel"
"SC",2018,"AFOGNAK",872,862,10,7,3
"SC",2018,"ALEUTIAN",48,48,0,0,0
"SC",2018,"BERING",39,38,1,0,1
"SC",2018,"CHIGNIK",12,12,0,0,0
"SC",2018,"CI",378,342,36,15,21
"SE",2018,"CSEO",5432,1905,3527,1460,2067
"SC",2018,"EASTSIDE",730,659,71,1,70
"SE",2018,"EWYKT",1167,555,612,245,367
"SE",2018,"EYKT",617,258,359,100,259
"SE",2018,"IBS",550,297,253,145,108
"SC",2018,"MAINLAND",0,0,0,0,0
"SC",2018,"NG",2876,1955,921,402,519
"SC",2018,"NORTHEAST",461,438,23,20,3
"SE",2018,"NSEI",3774,1671,2103,260,1843
"SE",2018,"NSEO",1904,436,1468,484,984
"SC",2018,"PWSI",723,364,359,72,287
"SC",2018,"PWSO",1046,546,500,355,145
"SC",2018,"SAKPEN",13,9,4,4,0
"SC",2018,"SKMA",160,158,2,2,0
"SC",2018,"SOUTHEAST",160,158,2,2,0
"SC",2018,"SOUTHWEST",0,0,0,0,0
"SE",2018,"SSEI",12062,2107,9955,605,9350
"SE",2018,"SSEO",2540,1086,1454,173,1281
"SC",2018,"WESTSIDE",1996,1842,154,87,67
"SC",2018,"WKMA",1996,1842,154,87,67
"SC",2019,"AFOGNAK",833,801,32,22,10
"SC",2019,"ALEUTIAN",10,10,0,0,0
"SC",2019,"BERING",0,0,0,0,0
"SC",2019,"CHIGNIK",14,14,0,0,0
"SC",2019,"CI",348,306,42,23,19
"SE",2019,"CSEO",6082,2280,3802,1696,2106
"SC",2019,"EASTSIDE",675,675,0,0,0
"SE",2019,"EWYKT",1608,811,797,225,572
"SE",2019,"EYKT",473,143,330,39,291
"SE",2019,"IBS",1135,668,467,186,281
"SC",2019,"MAINLAND",0,0,0,0,0
"SC",2019,"NG",3435,2629,806,393,413
"SC",2019,"NORTHEAST",1483,1467,16,16,0
"SE",2019,"NSEI",5817,2996,2821,325,2496
"SE",2019,"NSEO",2929,755,2174,798,1376
"SC",2019,"PWSI",936,444,492,141,351
"SC",2019,"PWSO",1837,689,1148,992,156
"SC",2019,"SAKPEN",0,0,0,0,0
"SC",2019,"SKMA",31,23,8,8,0
"SC",2019,"SOUTHEAST",31,23,8,8,0
"SC",2019,"SOUTHWEST",0,0,0,0,0
"SE",2019,"SSEI",10177,2197,7980,606,7374
"SE",2019,"SSEO",1758,819,939,219,720
"SC",2019,"WESTSIDE",1190,1096,94,48,46
"SC",2019,"WKMA",1190,1096,94,48,46
"SC",2020,"AFOGNAK",237,192,45,35,10
"SC",2020,"ALEUTIAN",1,1,0,0,0
"SC",2020,"BERING",0,0,0,0,0
"SC",2020,"CHIGNIK",3,3,0,0,0
"SC",2020,"CI",204,187,17,0,17
"SE",2020,"CSEO",4441,1127,3314,1724,1590
"SC",2020,"EASTSIDE",339,336,3,2,1
"SE",2020,"EWYKT",1131,764,367,102,265
"SE",2020,"EYKT",105,32,73,22,51
"SE",2020,"IBS",1026,732,294,80,214
"SC",2020,"MAINLAND",0,0,0,0,0
"SC",2020,"NG",1464,1008,456,249,207
"SC",2020,"NORTHEAST",222,218,4,1,3
"SE",2020,"NSEI",981,314,667,157,510
"SE",2020,"NSEO",905,160,745,455,290
"SC",2020,"PWSI",375,141,234,41,193
"SC",2020,"PWSO",854,452,402,268,134
"SC",2020,"SAKPEN",0,0,0,0,0
"SC",2020,"SKMA",43,43,0,0,0
"SC",2020,"SOUTHEAST",43,43,0,0,0
"SC",2020,"SOUTHWEST",0,0,0,0,0
"SE",2020,"SSEI",3720,1571,2149,410,1739
