"","Region","year","RptArea","rfharv","pelagic_harv","nonpel_harv","ye_harv","not_ye_nonpel_harv"
"318","SC",2009,"SOKO2SAP",852,747,105,76,29
"319","SC",2009,"SOUTHEAST",775,686,89,76,13
"320","SC",2009,"SOUTHWEST",35,35,0,0,0
"321","SE",2009,"SSEI",14837,6518,8319,2902,5417
"322","SE",2009,"SSEO",9645,5953,3692,1788,1904
"323","SC",2009,"WESTSIDE",1846,1516,330,247,83
"324","SC",2009,"WKMA",1849,1517,332,249,83
"325","SC",2010,"AFOGNAK",3032,1971,1061,348,713
"326","SC",2010,"ALEUTIAN",54,54,0,0,0
"327","SC",2010,"BERING",0,0,0,0,0
"328","SC",2010,"BSAI",54,54,0,0,0
"329","SC",2010,"CHIGNIK",105,47,58,0,58
"330","SC",2010,"CI",4422,3249,1173,185,988
"331","SE",2010,"CSEO",43813,30785,13028,7150,5878
"332","SC",2010,"EASTSIDE",2555,1663,892,74,818
"333","SE",2010,"EWYKT",2435,1932,503,119,384
"334","SE",2010,"EYKT",133,48,85,23,62
"335","SE",2010,"IBS",2302,1884,418,96,322
"336","SC",2010,"MAINLAND",11,3,8,8,0
"337","SC",2010,"NG",27027,20838,6189,3449,2740
"338","SC",2010,"NORTHEAST",8141,6708,1433,288,1145
"339","SE",2010,"NSEI",11942,7473,4469,1377,3092
"340","SE",2010,"NSEO",4613,2971,1642,737,905
"341","SC",2010,"PWSI",11909,8081,3828,1880,1948
"342","SC",2010,"PWSO",13038,8515,4523,3537,986
"343","SC",2010,"SAKPEN",0,0,0,0,0
"344","SC",2010,"SKMA",644,400,244,80,164
"345","SC",2010,"SOKO2SAP",749,447,302,80,222
"346","SC",2010,"SOUTHEAST",644,400,244,80,164
"347","SC",2010,"SOUTHWEST",0,0,0,0,0
"348","SE",2010,"SSEI",20015,8957,11058,3159,7899
"349","SE",2010,"SSEO",12415,7422,4993,2393,2600
"350","SC",2010,"WESTSIDE",1255,790,465,309,156
"351","SC",2010,"WKMA",1266,793,473,317,156
"352","SC",2011,"AFOGNAK",3052,2565,487,385,102
"353","SC",2011,"ALEUTIAN",5,0,5,0,5
"354","SC",2011,"BERING",0,0,0,0,0
"355","SC",2011,"BSAI",5,0,5,0,5
"356","SC",2011,"CHIGNIK",60,60,0,0,0
"357","SC",2011,"CI",3046,2570,476,174,302
"358","SE",2011,"CSEO",58843,46504,12339,4215,8124
"359","SC",2011,"EASTSIDE",1928,1853,75,39,36
"360","SE",2011,"EWYKT",2848,2363,485,111,374
"361","SE",2011,"EYKT",283,165,118,36,82
"362","SE",2011,"IBS",2565,2198,367,75,292
"363","SC",2011,"MAINLAND",99,98,1,1,0
"364","SC",2011,"NG",30322,24713,5609,3576,2033
"365","SC",2011,"NORTHEAST",6904,6611,293,140,153
"366","SE",2011,"NSEI",13281,8325,4956,1146,3810
"367","SE",2011,"NSEO",8950,6832,2118,831,1287
"368","SC",2011,"PWSI",11367,8192,3175,1443,1732
"369","SC",2011,"PWSO",15590,11330,4260,3189,1071
"370","SC",2011,"SAKPEN",0,0,0,0,0
"371","SC",2011,"SKMA",689,552,137,77,60
"372","SC",2011,"SOKO2SAP",749,612,137,77,60
"373","SC",2011,"SOUTHEAST",689,552,137,77,60
"374","SC",2011,"SOUTHWEST",0,0,0,0,0
"375","SE",2011,"SSEI",17328,9231,8097,2407,5690
"376","SE",2011,"SSEO",11926,8143,3783,1424,2359
"377","SC",2011,"WESTSIDE",1267,1019,248,162,86
"378","SC",2011,"WKMA",1366,1117,249,163,86
"379","SC",2012,"AFOGNAK",3025,2461,564,411,153
"380","SC",2012,"ALEUTIAN",13,13,0,0,0
"381","SC",2012,"BERING",0,0,0,0,0
"382","SC",2012,"BSAI",13,13,0,0,0
"383","SC",2012,"CHIGNIK",121,99,22,0,22
"384","SC",2012,"CI",4677,4109,568,201,367
"385","SE",2012,"CSEO",57675,43380,14295,4550,9745
"386","SC",2012,"EASTSIDE",3433,3210,223,76,147
"387","SE",2012,"EWYKT",3241,2727,514,147,367
"388","SE",2012,"EYKT",541,418,123,38,85
"389","SE",2012,"IBS",2700,2309,391,109,282
"390","SC",2012,"MAINLAND",0,0,0,0,0
"391","SC",2012,"NG",27771,22056,5715,3368,2347
"392","SC",2012,"NORTHEAST",6813,6257,556,205,351
"393","SE",2012,"NSEI",15243,9183,6060,1252,4808
"394","SE",2012,"NSEO",8600,6467,2133,737,1396
"395","SC",2012,"PWSI",13580,9313,4267,1727,2540
"396","SC",2012,"PWSO",16566,11401,5165,3484,1681
"397","SC",2012,"SAKPEN",0,0,0,0,0
"398","SC",2012,"SKMA",918,568,350,107,243
"399","SC",2012,"SOKO2SAP",1039,667,372,107,265
"400","SC",2012,"SOUTHEAST",918,568,350,107,243
"401","SC",2012,"SOUTHWEST",0,0,0,0,0
"402","SE",2012,"SSEI",20908,9031,11877,3147,8730
"403","SE",2012,"SSEO",14290,9606,4684,1749,2935
"404","SC",2012,"WESTSIDE",1747,1322,425,335,90
"405","SC",2012,"WKMA",1747,1322,425,335,90
"406","SC",2013,"AFOGNAK",2487,2014,473,382,91
"407","SC",2013,"ALEUTIAN",0,0,0,0,0
"408","SC",2013,"BERING",0,0,0,0,0
"409","SC",2013,"BSAI",0,0,0,0,0
"410","SC",2013,"CHIGNIK",69,19,50,0,50
"411","SC",2013,"CI",4808,4380,428,162,266
"412","SE",2013,"CSEO",60735,48283,12452,4216,8236
"413","SC",2013,"EASTSIDE",2207,2081,126,54,72
"414","SE",2013,"EWYKT",3884,3432,452,56,396
"415","SE",2013,"EYKT",616,514,102,22,80
"416","SE",2013,"IBS",3268,2918,350,34,316
"417","SC",2013,"MAINLAND",4,3,1,0,1
"418","SC",2013,"NG",30558,25257,5301,3428,1873
"419","SC",2013,"NORTHEAST",9965,9327,638,361,277
"420","SE",2013,"NSEI",14770,9583,5187,1159,4028
"421","SE",2013,"NSEO",6970,5295,1675,713,962
"422","SC",2013,"PWSI",14209,10875,3334,1384,1950
"423","SC",2013,"PWSO",19818,14223,5595,3409,2186
"424","SC",2013,"SAKPEN",0,0,0,0,0
"425","SC",2013,"SKMA",1035,868,167,113,54
"426","SC",2013,"SOKO2SAP",1104,887,217,113,104
"427","SC",2013,"SOUTHEAST",1035,868,167,113,54
"428","SC",2013,"SOUTHWEST",0,0,0,0,0
"429","SE",2013,"SSEI",24779,11207,13572,3164,10408
"430","SE",2013,"SSEO",15619,11144,4475,1811,2664
"431","SC",2013,"WESTSIDE",1979,1623,356,279,77
"432","SC",2013,"WKMA",1983,1626,357,279,78
"433","SC",2014,"AFOGNAK",2843,2263,580,434,146
"434","SC",2014,"ALEUTIAN",44,44,0,0,0
"435","SC",2014,"BERING",0,0,0,0,0
"436","SC",2014,"BSAI",44,44,0,0,0
"437","SC",2014,"CHIGNIK",62,56,6,0,6
"438","SC",2014,"CI",4731,4369,362,94,268
"439","SE",2014,"CSEO",73709,60201,13508,4240,9268
"440","SC",2014,"EASTSIDE",3551,3385,166,131,35
"441","SE",2014,"EWYKT",4695,4020,675,125,550
"442","SE",2014,"EYKT",517,424,93,30,63
"443","SE",2014,"IBS",4178,3596,582,95,487
"444","SC",2014,"MAINLAND",0,0,0,0,0
"445","SC",2014,"NG",37025,31936,5089,2911,2178
"446","SC",2014,"NORTHEAST",11896,10360,1536,392,1144
"447","SE",2014,"NSEI",19857,13571,6286,1206,5080
"448","SE",2014,"NSEO",8688,6428,2260,820,1440
"449","SC",2014,"PWSI",14913,10729,4184,1470,2714
"450","SC",2014,"PWSO",21309,15752,5557,3473,2084
"451","SC",2014,"SAKPEN",0,0,0,0,0
"452","SC",2014,"SKMA",653,557,96,49,47
"453","SC",2014,"SOKO2SAP",715,613,102,49,53
"454","SC",2014,"SOUTHEAST",653,557,96,49,47
"455","SC",2014,"SOUTHWEST",0,0,0,0,0
"456","SE",2014,"SSEI",25686,10668,15018,2923,12095
"457","SE",2014,"SSEO",18453,13323,5130,1522,3608
"458","SC",2014,"WESTSIDE",2396,1757,639,404,235
"459","SC",2014,"WKMA",2396,1757,639,404,235
"460","SC",2015,"AFOGNAK",3919,3289,630,421,209
"461","SC",2015,"ALEUTIAN",21,1,20,2,18
"462","SC",2015,"BERING",0,0,0,0,0
"463","SC",2015,"BSAI",21,1,20,2,18
"464","SC",2015,"CHIGNIK",43,3,40,0,40
"465","SC",2015,"CI",6321,5864,457,134,323
"466","SE",2015,"CSEO",80105,63217,16888,5352,11536
"467","SC",2015,"EASTSIDE",2787,2635,152,149,3
"468","SE",2015,"EWYKT",5729,4715,1014,215,799
"469","SE",2015,"EYKT",1353,1021,332,81,251
"470","SE",2015,"IBS",4376,3694,682,134,548
"471","SC",2015,"MAINLAND",9,9,0,0,0
"472","SC",2015,"NG",45883,39744,6139,3283,2856
"473","SC",2015,"NORTHEAST",12377,11799,578,394,184
"474","SE",2015,"NSEI",22095,13976,8119,1555,6564
"475","SE",2015,"NSEO",9156,6577,2579,911,1668
"476","SC",2015,"PWSI",20073,14853,5220,1742,3478
"477","SC",2015,"PWSO",24516,18386,6130,4084,2046
"478","SC",2015,"SAKPEN",0,0,0,0,0
"479","SC",2015,"SKMA",619,547,72,68,4
"480","SC",2015,"SOKO2SAP",662,550,112,68,44
"481","SC",2015,"SOUTHEAST",619,547,72,68,4
"482","SC",2015,"SOUTHWEST",0,0,0,0,0
"483","SE",2015,"SSEI",29160,11218,17942,4271,13671
"484","SE",2015,"SSEO",17669,12749,4920,1419,3501
"485","SC",2015,"WESTSIDE",2022,1655,367,285,82
