"YEAR","CFMU","Assemblage","USER","RelCat","avg_WtKg","SE_WtKg","var_WtKg","P_Rel","PcatSurface","PcatDRM","Mort_rate"
2007,"PWSO","Black","Charter",2,2.48502415458937,0.0320512784391223,0.425295762127008,0.452302631578947,1,0,0.110773026315789
2007,"PWSO","Black","Charter",4,2.48502415458937,0.0320512784391223,0.425295762127008,0.0296052631578947,1,0,0.110773026315789
2007,"PWSO","Black","Charter",1,2.48502415458937,0.0320512784391223,0.425295762127008,0.424342105263158,1,0,0.110773026315789
2007,"PWSO","Black","Charter",3,2.48502415458937,0.0320512784391223,0.425295762127008,0.09375,1,0,0.110773026315789
1997,"PWSO","Black","Charter",2,2.32820512820513,0.0929928874119713,0.674518814518814,0.452302631578947,1,0,0.110773026315789
1997,"PWSO","Black","Charter",4,2.32820512820513,0.0929928874119713,0.674518814518814,0.0296052631578947,1,0,0.110773026315789
1997,"PWSO","Black","Charter",1,2.32820512820513,0.0929928874119713,0.674518814518814,0.424342105263158,1,0,0.110773026315789
1997,"PWSO","Black","Charter",3,2.32820512820513,0.0929928874119713,0.674518814518814,0.09375,1,0,0.110773026315789
2024,"PWSO","Black","Charter",2,1.82363636363636,0.0407422894921302,0.273889135254989,0.452302631578947,0.792727272727273,0.207272727272727,0.0464882743980611
2024,"PWSO","Black","Charter",4,1.82363636363636,0.0407422894921302,0.273889135254989,0.0296052631578947,0.166666666666667,0.833333333333333,0.0421436692857264
2024,"PWSO","Black","Charter",1,1.82363636363636,0.0407422894921302,0.273889135254989,0.424342105263158,0.996124031007752,0.00387596899224807,0
2024,"PWSO","Black","Charter",3,1.82363636363636,0.0407422894921302,0.273889135254989,0.09375,0.157894736842105,0.842105263157895,0.104579359117838
1993,"PWSO","Black","Charter",2,1.88857142857143,0.0841054929122923,0.19806455026455,0.452302631578947,1,0,0.110773026315789
1993,"PWSO","Black","Charter",4,1.88857142857143,0.0841054929122923,0.19806455026455,0.0296052631578947,1,0,0.110773026315789
1993,"PWSO","Black","Charter",1,1.88857142857143,0.0841054929122923,0.19806455026455,0.424342105263158,1,0,0.110773026315789
1993,"PWSO","Black","Charter",3,1.88857142857143,0.0841054929122923,0.19806455026455,0.09375,1,0,0.110773026315789
2002,"PWSO","Black","Charter",2,2.70357142857143,0.0638714239855199,0.571138232271326,0.452302631578947,1,0,0.110773026315789
2002,"PWSO","Black","Charter",4,2.70357142857143,0.0638714239855199,0.571138232271326,0.0296052631578947,1,0,0.110773026315789
2002,"PWSO","Black","Charter",1,2.70357142857143,0.0638714239855199,0.571138232271326,0.424342105263158,1,0,0.110773026315789
2002,"PWSO","Black","Charter",3,2.70357142857143,0.0638714239855199,0.571138232271326,0.09375,1,0,0.110773026315789
2006,"PWSO","Black","Charter",2,2.30871212121212,0.0393353368499749,0.408478943426662,0.452302631578947,1,0,0.110773026315789
2006,"PWSO","Black","Charter",4,2.30871212121212,0.0393353368499749,0.408478943426662,0.0296052631578947,1,0,0.110773026315789
2006,"PWSO","Black","Charter",1,2.30871212121212,0.0393353368499749,0.408478943426662,0.424342105263158,1,0,0.110773026315789
2006,"PWSO","Black","Charter",3,2.30871212121212,0.0393353368499749,0.408478943426662,0.09375,1,0,0.110773026315789
2015,"PWSO","Black","Charter",2,2.48630136986301,0.092267954626117,0.621476407914764,0.452302631578947,0.792727272727273,0.207272727272727,0.0464882743980611
2015,"PWSO","Black","Charter",4,2.48630136986301,0.092267954626117,0.621476407914764,0.0296052631578947,0.166666666666667,0.833333333333333,0.0421436692857264
2015,"PWSO","Black","Charter",1,2.48630136986301,0.092267954626117,0.621476407914764,0.424342105263158,0.996124031007752,0.00387596899224807,0
2015,"PWSO","Black","Charter",3,2.48630136986301,0.092267954626117,0.621476407914764,0.09375,0.157894736842105,0.842105263157895,0.104579359117838
2020,"PWSO","Black","Charter",2,2.29204152249135,0.0453837517497947,0.595248942714341,0.452302631578947,0.792727272727273,0.207272727272727,0.0464882743980611
2020,"PWSO","Black","Charter",4,2.29204152249135,0.0453837517497947,0.595248942714341,0.0296052631578947,0.166666666666667,0.833333333333333,0.0421436692857264
2020,"PWSO","Black","Charter",1,2.29204152249135,0.0453837517497947,0.595248942714341,0.424342105263158,0.996124031007752,0.00387596899224807,0
2020,"PWSO","Black","Charter",3,2.29204152249135,0.0453837517497947,0.595248942714341,0.09375,0.157894736842105,0.842105263157895,0.104579359117838
1999,"PWSO","Black","Charter",2,2.82886597938144,0.0635598921170011,0.391866408934708,0.452302631578947,1,0,0.110773026315789
