"USER","YEAR","PORT","CFMU","Pel","NP","BRF","YE"
"Private",2006,"Whittier","PWSI",45,219,23,135
"Private",2006,"Whittier","PWSO",21,1,21,0
"Private",2007,"Homer","CI",14,0,6,0
"Private",2007,"Homer","NG",23,8,23,8
"Private",2007,"Seward","NG",180,45,154,22
"Private",2007,"Seward","PWSI",1,0,1,0
"Private",2007,"Seward","PWSO",25,2,25,2
"Private",2007,"Valdez","PWSI",7,28,5,8
"Private",2007,"Whittier","PWSI",108,174,73,117
"Private",2007,"Whittier","PWSO",0,1,0,0
"Private",2008,"Homer","CI",26,0,14,0
"Private",2008,"Seward","NG",167,52,152,28
"Private",2008,"Seward","PWSI",8,1,8,1
"Private",2008,"Seward","PWSO",13,6,12,6
"Private",2008,"Valdez","PWSI",40,57,22,19
"Private",2008,"Valdez","PWSO",10,1,10,1
"Private",2008,"Whittier","PWSI",142,285,59,135
"Private",2008,"Whittier","PWSO",0,3,0,2
"Private",2009,"Homer","CI",86,0,12,0
"Private",2009,"Homer","NG",19,7,11,7
"Private",2009,"Seward","NG",434,94,390,34
"Private",2009,"Seward","PWSI",12,2,7,2
"Private",2009,"Seward","PWSO",31,12,29,10
"Private",2009,"Valdez","PWSI",53,235,47,70
"Private",2009,"Valdez","PWSO",15,22,15,13
"Private",2009,"Whittier","PWSI",52,125,29,79
"Private",2009,"Whittier","PWSO",19,1,15,1
"Private",2010,"Homer","CI",149,0,28,0
"Private",2010,"Homer","NG",75,3,59,0
"Private",2010,"Seward","NG",339,129,306,68
"Private",2010,"Seward","PWSI",30,0,26,0
"Private",2010,"Seward","PWSO",54,15,53,11
"Private",2010,"Valdez","PWSI",68,160,59,60
"Private",2010,"Valdez","PWSO",18,5,18,4
"Private",2010,"Whittier","PWSI",68,140,42,63
"Private",2010,"Whittier","PWSO",6,5,6,0
"Private",2011,"Homer","CI",132,9,45,3
"Private",2011,"Homer","NG",0,6,0,6
"Private",2011,"Seward","NG",268,113,239,54
"Private",2011,"Seward","PWSI",28,0,28,0
"Private",2011,"Seward","PWSO",85,11,79,9
"Private",2011,"Valdez","PWSI",37,151,15,51
"Private",2011,"Valdez","PWSO",35,8,35,8
"Private",2011,"Whittier","PWSI",103,180,76,84
"Private",2012,"Homer","CI",58,1,28,1
"Private",2012,"Homer","NG",9,17,9,17
"Private",2012,"Seward","NG",395,101,374,56
"Private",2012,"Seward","PWSI",5,3,5,2
"Private",2012,"Seward","PWSO",116,37,111,23
"Private",2012,"Valdez","PWSI",44,129,25,51
"Private",2012,"Valdez","PWSO",90,31,87,23
"Private",2012,"Whittier","PWSI",87,186,18,105
"Private",2012,"Whittier","PWSO",5,2,5,2
"Private",2013,"Homer","CI",57,1,26,1
"Private",2013,"Homer","NG",106,22,101,19
"Private",2013,"Seward","NG",442,76,406,48
"Private",2013,"Seward","PWSI",7,5,4,1
"Private",2013,"Seward","PWSO",115,17,112,5
"Private",2013,"Valdez","PWSI",56,183,26,61
"Private",2013,"Valdez","PWSO",90,57,85,34
"Private",2013,"Whittier","PWSI",181,219,104,85
"Private",2013,"Whittier","PWSO",37,11,12,4
"Private",2014,"Homer","CI",95,4,24,4
"Private",2014,"Homer","NG",16,6,15,3
"Private",2014,"Seward","NG",371,120,332,72
"Private",2014,"Seward","PWSI",1,4,1,2
"Private",2014,"Seward","PWSO",133,32,126,26
"Private",2014,"Valdez","PWSI",32,259,23,142
"Private",2014,"Valdez","PWSO",73,30,72,22
"Private",2014,"Whittier","NG",16,0,16,0
"Private",2014,"Whittier","PWSI",80,119,23,38
"Private",2015,"Homer","CI",141,2,39,1
"Private",2015,"Homer","NG",40,14,38,12
"Private",2015,"Kodiak","EASTSIDE",16,0,16,0
"Private",2015,"Seward","NG",380,84,335,47
"Private",2015,"Seward","PWSI",0,7,0,4
"Private",2015,"Seward","PWSO",29,6,26,2
"Private",2015,"Valdez","PWSI",100,172,62,78
"Private",2015,"Valdez","PWSO",106,32,98,26
"Private",2015,"Whittier","PWSI",46,168,15,66
"Private",2015,"Whittier","PWSO",19,9,19,7
"Private",2016,"Homer","CI",81,0,34,0
"Private",2016,"Homer","NG",7,3,4,3
"Private",2016,"Seward","NG",349,92,302,49
"Private",2016,"Seward","PWSI",11,4,7,0
"Private",2016,"Seward","PWSO",75,23,61,20
"Private",2016,"Valdez","PWSI",13,72,11,31
"Private",2016,"Valdez","PWSO",92,29,85,27
"Private",2016,"Whittier","PWSI",8,19,1,6
"Private",2016,"Whittier","PWSO",1,3,1,1
"Private",2017,"Homer","CI",68,2,33,0
"Private",2017,"Homer","NG",64,11,58,9
"Private",2017,"Kodiak","EASTSIDE",25,0,24,0
"Private",2017,"Kodiak","NORTHEAST",12,4,5,3
"Private",2017,"Seward","NG",109,29,87,11
"Private",2017,"Seward","PWSI",1,0,1,0
"Private",2017,"Seward","PWSO",93,11,79,4
"Private",2017,"Valdez","PWSI",0,17,0,10
"Private",2017,"Valdez","PWSO",20,16,20,14
"Private",2017,"Whittier","PWSI",24,70,23,41
"Private",2018,"Homer","CI",137,2,89,0
"Private",2018,"Homer","NG",59,25,49,17
"Private",2018,"Kodiak","EASTSIDE",2,0,2,0
"Private",2018,"Seward","NG",197,85,151,50
"Private",2018,"Seward","PWSI",2,3,2,0
"Private",2018,"Seward","PWSO",41,18,41,13
"Private",2018,"Valdez","PWSI",27,73,19,26
"Private",2018,"Valdez","PWSO",42,3,42,1
"Private",2018,"Whittier","PWSI",65,74,50,45
"Private",2018,"Whittier","PWSO",3,6,3,3
"Private",2019,"Homer","CI",179,5,135,1
"Private",2019,"Homer","NG",22,9,15,9
"Private",2019,"Kodiak","AFOGNAK",10,17,7,17
"Private",2019,"Kodiak","NORTHEAST",9,0,9,0
"Private",2019,"Seward","NG",232,97,177,59
"Private",2019,"Seward","PWSO",82,39,69,20
"Private",2019,"Valdez","PWSI",72,86,67,36
"Private",2019,"Valdez","PWSO",86,19,60,14
"Private",2019,"Whittier","PWSI",53,106,36,63
"Private",2019,"Whittier","PWSO",14,6,10,4
"Private",2020,"Homer","CI",71,0,64,0
"Private",2020,"Homer","NG",11,5,8,5
"Private",2020,"Seward","NG",160,89,142,50
"Private",2020,"Seward","PWSI",4,5,4,2
"Private",2020,"Seward","PWSO",59,20,54,15
"Private",2020,"Valdez","PWSI",52,65,41,22
"Private",2020,"Valdez","PWSO",62,23,60,20
"Private",2020,"Whittier","PWSI",50,87,36,53
"Private",2020,"Whittier","PWSO",9,3,3,0
"Private",2021,"Homer","CI",70,5,42,2
"Private",2021,"Homer","NG",5,3,4,2
"Private",2021,"Kodiak","NORTHEAST",9,0,8,0
"Private",2021,"Seward","NG",130,32,118,21
"Private",2021,"Seward","PWSI",21,4,21,3
"Private",2021,"Seward","PWSO",12,2,12,2
"Private",2021,"Valdez","PWSI",88,65,69,18
"Private",2021,"Valdez","PWSO",40,23,37,19
"Private",2021,"Whittier","PWSI",10,60,0,36
"Private",2021,"Whittier","PWSO",3,2,2,2
"Private",2022,"Homer","CI",105,6,40,1
"Private",2022,"Homer","NG",26,7,12,7
"Private",2022,"Seward","NG",229,54,220,31
"Private",2022,"Seward","PWSI",0,9,0,5
"Private",2022,"Seward","PWSO",50,12,49,5
"Private",2022,"Valdez","PWSI",60,178,26,53
"Private",2022,"Valdez","PWSO",32,19,21,18
"Private",2022,"Whittier","PWSI",33,98,5,70
