"USER","YEAR","PORT","CFMU","Pel","NP","BRF","YE"
"Charter",2008,"Whittier","PWSO",2,1,2,1
"Charter",2009,"Homer","CI",54,17,23,16
"Charter",2009,"Homer","NG",263,36,233,35
"Charter",2009,"Kodiak","AFOGNAK",30,1,30,1
"Charter",2009,"Kodiak","EASTSIDE",50,0,50,0
"Charter",2009,"Kodiak","NORTHEAST",72,18,53,16
"Charter",2009,"Kodiak","WESTSIDE",5,4,4,4
"Charter",2009,"Seward","NG",528,125,418,66
"Charter",2009,"Seward","PWSI",187,54,168,30
"Charter",2009,"Seward","PWSO",575,118,452,81
"Charter",2009,"Valdez","PWSI",20,11,18,6
"Charter",2009,"Valdez","PWSO",190,203,187,182
"Charter",2009,"Whittier","PWSI",15,80,3,38
"Charter",2009,"Whittier","PWSO",18,7,15,6
"Charter",2010,"CCI","NG",16,8,5,8
"Charter",2010,"Homer","CI",321,9,84,2
"Charter",2010,"Homer","NG",401,78,306,62
"Charter",2010,"Kodiak","AFOGNAK",18,0,18,0
"Charter",2010,"Kodiak","NORTHEAST",99,17,53,14
"Charter",2010,"Seward","NG",444,197,405,137
"Charter",2010,"Seward","PWSI",165,46,145,35
"Charter",2010,"Seward","PWSO",296,119,257,95
"Charter",2010,"Valdez","PWSI",42,57,42,24
"Charter",2010,"Valdez","PWSO",169,178,167,164
"Charter",2010,"Whittier","PWSI",18,123,4,43
"Charter",2010,"Whittier","PWSO",1,3,1,3
"Charter",2011,"Homer","AFOGNAK",6,0,4,0
"Charter",2011,"Homer","CI",82,10,30,6
"Charter",2011,"Homer","NG",261,74,215,62
"Charter",2011,"Kodiak","AFOGNAK",1,6,1,6
"Charter",2011,"Kodiak","NORTHEAST",138,7,119,7
"Charter",2011,"Seward","NG",446,78,347,36
"Charter",2011,"Seward","PWSI",232,43,187,25
"Charter",2011,"Seward","PWSO",288,89,263,73
"Charter",2011,"Valdez","PWSI",22,86,16,10
"Charter",2011,"Valdez","PWSO",229,94,223,76
"Charter",2011,"Whittier","PWSI",11,79,5,43
"Charter",2011,"Whittier","PWSO",35,14,29,9
"Charter",2012,"CCI","NG",33,2,33,2
"Charter",2012,"Homer","CI",190,20,35,8
