"SP","USER","YEAR","CFMU","n_fish","boats","mean_wt","sd_wt","bootstrap_sd"
142,"Charter",2012,"NORTHEAST",108,7,2.20277777777778,0.471517402050165,0.0460678451650947
142,"Charter",2012,"PWSI",278,20,2.51210869424899,0.577667678115708,0.0340264173670137
142,"Charter",2012,"PWSO",486,33,2.42084913439584,0.632875901172628,0.0287106999821151
142,"Charter",2013,"CI",26,7,2.39346558875622,0.499901923005447,0.0980021631476072
142,"Charter",2013,"NG",772,35,2.1778021586562,0.608652691180385,0.021314008387656
142,"Charter",2013,"NORTHEAST",244,7,2.24344262295082,0.584714443325476,0.0372020495950552
142,"Charter",2013,"PWSI",311,16,2.54687046154488,0.478987003007358,0.0292458644433661
142,"Charter",2013,"PWSO",482,29,2.5984189241853,0.685818526730097,0.0306755577450513
142,"Charter",2014,"CI",90,10,2.43407329422629,0.50528507651981,0.0527910617316866
142,"Charter",2014,"NG",612,32,2.18362434071288,0.700339342519987,0.0291021299278901
142,"Charter",2014,"NORTHEAST",250,9,2.29982527606162,0.546079718944872,0.0351293115991662
142,"Charter",2014,"PWSI",407,17,2.49342411562251,0.624766707031581,0.0304242062107153
142,"Charter",2014,"PWSO",776,32,2.54410993388932,0.647111444429409,0.0236654660753602
142,"Charter",2015,"CI",37,7,1.90263253069037,0.595564824675729,0.0936010353761622
142,"Charter",2015,"NG",455,19,2.12467498098994,0.684315542196104,0.0327254424507431
142,"Charter",2015,"NORTHEAST",72,4,2.41962534286272,0.447536510133784,0.0505863915700848
142,"Charter",2015,"PWSI",303,12,1.94185459058275,0.600258524538506,0.0348460182034501
142,"Charter",2015,"PWSO",808,26,2.36118652073853,0.665713426018737,0.0228145300915678
142,"Charter",2016,"CI",35,9,1.86362987345421,0.591103854885699,0.0964686022247598
142,"Charter",2016,"NG",1001,47,1.88058894303718,0.560444266233671,0.0177308651437059
142,"Charter",2016,"NORTHEAST",174,6,2.18364210451847,0.547797224810816,0.0400832281093931
142,"Charter",2016,"PWSI",388,17,2.20928065086577,0.605534730805337,0.0308920018131641
142,"Charter",2016,"PWSO",738,27,2.36143078761441,0.630794423265558,0.0227314440704095
142,"Charter",2017,"CI",45,11,2.38096019688648,0.939548408167252,0.136824220846654
142,"Charter",2017,"EASTSIDE",108,4,2.28148148148148,0.480682565344139,0.0452000391301216
142,"Charter",2017,"NG",394,29,1.84884576897751,0.552143875119207,0.0280788607552101
142,"Charter",2017,"NORTHEAST",149,11,1.91651768065734,0.524761784231406,0.0441139713124848
142,"Charter",2017,"PWSI",258,13,1.99510139103334,0.578762806604794,0.0364435232683044
142,"Charter",2017,"PWSO",572,24,2.32472428161805,0.568807419765717,0.0241527108421048
142,"Charter",2018,"CI",137,21,1.23174747737366,0.717141779750048,0.0615634894893715
142,"Charter",2018,"NG",698,38,1.76699207595151,0.760416262641409,0.0280755843227571
142,"Charter",2018,"NORTHEAST",250,11,2.08409023450552,0.575806133722983,0.0353796480079089
142,"Charter",2018,"PWSI",267,7,1.97449659215549,0.648520971560998,0.0384746862524165
142,"Charter",2018,"PWSO",564,24,2.30543550366798,0.688350944112178,0.0288861068347293
142,"Charter",2019,"CI",215,22,0.993545987535378,0.340208306982,0.0228306873038765
142,"Charter",2019,"NG",680,37,1.907264376561,0.799684236374502,0.0306873137519705
142,"Charter",2019,"NORTHEAST",172,7,2.24747881632945,0.631006349948611,0.0484718735251989
142,"Charter",2019,"PWSI",156,13,2.10241869221291,0.753747113129954,0.0576349962286561
142,"Charter",2019,"PWSO",798,34,2.35727329113346,0.675410014807126,0.024747962449305
142,"Charter",2020,"NG",153,12,1.92091503267974,0.597544712571814,0.0467455399223309
142,"Charter",2020,"PWSI",78,5,2.00512820512821,0.726653499286495,0.0854141918476175
142,"Charter",2020,"PWSO",289,24,2.29204152249135,0.77152377974651,0.0456814280239674
142,"Charter",2021,"CI",80,6,1.50882437581861,0.31081361297907,0.0348791081280534
142,"Charter",2021,"NG",600,30,1.51791802308743,0.560343758083362,0.0234111187960423
142,"Charter",2021,"NORTHEAST",299,9,1.77439198706826,0.520035136614121,0.0305657222629026
142,"Charter",2021,"PWSI",225,16,1.90726390430935,0.636811139973889,0.0423303477471903
142,"Charter",2021,"PWSO",678,17,1.78761242181221,0.670547959921777,0.0244048957365924
142,"Charter",2022,"CI",128,12,1.84445564194634,0.388761620950269,0.0339790491501992
142,"Charter",2022,"NG",655,28,1.5978372058433,0.553991796862433,0.0212256782556781
142,"Charter",2022,"NORTHEAST",115,6,1.72173913043478,0.512609869899649,0.047535778915678
142,"Charter",2022,"PWSI",615,17,1.86312348783979,0.563718714824322,0.022197054564719
142,"Charter",2022,"PWSO",518,19,2.1765795433474,0.673990157228284,0.0294116647936193
142,"Charter",2023,"CI",78,9,1.97539739857782,0.397544469166786,0.0434786853101719
142,"Charter",2023,"NG",447,26,1.74696389748165,0.556788146864352,0.0258894934212545
142,"Charter",2023,"NORTHEAST",198,6,1.9459595959596,0.532553315539601,0.0371696412566024
142,"Charter",2023,"PWSI",158,14,1.93801102959253,0.628377769445444,0.0503252686774349
142,"Charter",2023,"PWSO",438,17,2.16065544732848,0.662953375816056,0.0312129890475967
142,"Charter",2024,"CI",112,9,2.19962883128829,0.600980677376234,0.0563002403464875
142,"Charter",2024,"NG",549,30,1.80729224214841,0.530071798170546,0.0217091123699136
142,"Charter",2024,"NORTHEAST",71,5,1.94458126775061,0.387334060738228,0.0463833851492074
142,"Charter",2024,"PWSI",273,17,1.85793902114827,0.505278137062886,0.0308907738371019
142,"Charter",2024,"PWSO",435,25,1.9255503377372,0.501892248297605,0.0228453601724745
142,"Charter",2025,"AFOGNAK",66,6,2.1313335125566,0.426107813313116,0.0528092317914106
142,"Charter",2025,"CI",55,8,2.20569705102128,0.546279864181902,0.0744457944348143
142,"Charter",2025,"NG",831,40,1.98762761181307,0.496231281479963,0.0168198190942277
142,"Charter",2025,"NORTHEAST",199,9,1.99447236180905,1.06368883484015,0.0751837681233915
142,"Charter",2025,"PWSI",193,10,1.85773778363876,0.473467584386485,0.0344394629543707
142,"Charter",2025,"PWSO",322,20,2.04298598352623,0.494845916707786,0.0276117450383052
145,"Charter",2007,"NG",55,24,5.21678975343294,2.29167792081294,0.305283875046012
145,"Charter",2007,"PWSI",76,17,3.44707939849579,1.28812780316825,0.143645237651752
145,"Charter",2007,"PWSO",167,22,4.35993622673254,1.29422730146492,0.0977556584764528
145,"Charter",2008,"NG",102,22,4.72789413933466,1.80980463812704,0.174892116967395
145,"Charter",2008,"PWSI",97,17,3.45821982026182,1.46516594553162,0.147735602039699
145,"Charter",2008,"PWSO",181,23,4.55330365637522,1.60162871690707,0.111711411769845
145,"Charter",2009,"CI",16,4,4.89334025164255,1.83255462135257,0.435357974824873
145,"Charter",2009,"NG",101,28,4.29643648979633,2.14614481102326,0.208015950326019
145,"Charter",2009,"NORTHEAST",16,4,3.55625,2.51792738841559,0.609144272109854
145,"Charter",2009,"PWSI",72,19,3.38309436305209,1.34118878725521,0.159558663652138
145,"Charter",2009,"PWSO",265,30,4.54336962326472,1.50106082338718,0.0947803697415238
145,"Charter",2010,"NG",205,36,4.6495258478035,1.90745122513415,0.132553707190881
145,"Charter",2010,"PWSI",99,22,3.36102150773931,1.73644623368202,0.175075685821292
145,"Charter",2010,"PWSO",258,26,4.39568067193338,1.65882789264538,0.104411153263753
145,"Charter",2011,"NG",98,19,4.93682382374004,1.73461621633944,0.177528802588559
145,"Charter",2011,"PWSI",77,16,3.13997306838572,1.50711392938275,0.169035981838596
145,"Charter",2011,"PWSO",156,19,4.06490232769547,1.19591216786519,0.0967744458470949
