"SP","USER","YEAR","CFMU","n_fish","boats","mean_wt","sd_wt"
142,"Private",2019,"PWSO",138,20,2.27567567567568,0.538209689312325
142,"Private",2020,"CI",64,9,1,0.232379000772445
142,"Private",2020,"NG",149,27,1.75833333333333,0.737095556325589
142,"Private",2020,"NORTHEAST",78,22,1.75,0.5
142,"Private",2020,"PWSI",81,13,2.736,0.482078831727758
142,"Private",2020,"PWSO",117,16,2.3377358490566,0.775397271650112
142,"Private",2021,"CI",48,11,1.13684210526316,0.348346134239733
142,"Private",2021,"NG",122,23,1.50263157894737,0.678620892538296
142,"Private",2021,"NORTHEAST",183,39,1.70530973451327,0.491324868515985
142,"Private",2021,"PWSI",90,7,2.16666666666667,0.561248608016091
142,"Private",2021,"PWSO",51,5,2.68125,0.426174846747201
142,"Private",2022,"CI",46,14,1.68,0.327108544675923
142,"Private",2022,"NG",232,30,1.33723404255319,0.574921040404342
142,"Private",2022,"NORTHEAST",106,21,1.65909090909091,0.421689945514464
142,"Private",2022,"PWSI",31,9,1.92083333333333,0.474551657211645
142,"Private",2022,"PWSO",70,6,2.38846153846154,0.600883964223991
142,"Private",2023,"CI",24,7,2.16666666666667,0.378593889720018
142,"Private",2023,"NG",265,41,1.34459459459459,0.601172801700666
142,"Private",2023,"NORTHEAST",150,34,1.91724137931034,0.474684811741522
142,"Private",2023,"PWSI",136,22,2.154,0.424365071943621
142,"Private",2023,"PWSO",100,12,2.425,0.677126280689208
142,"Private",2024,"CI",23,6,1.2,0.424264068711929
142,"Private",2024,"NG",208,32,1.72727272727273,0.528438879060598
142,"Private",2024,"NORTHEAST",152,33,1.86486486486486,0.388884598860936
142,"Private",2024,"PWSI",59,10,1.79722222222222,0.557794693982401
142,"Private",2024,"PWSO",80,10,1.88421052631579,0.625376131485803
142,"Private",2025,"AFOGNAK",26,5,,
142,"Private",2025,"CI",42,11,2.19333333333333,0.790213124169167
142,"Private",2025,"NG",305,42,1.83174603174603,0.399929589297028
142,"Private",2025,"NORTHEAST",230,51,1.83428571428571,0.368576639921466
142,"Private",2025,"PWSI",60,10,2.05625,0.466725236952654
142,"Private",2025,"PWSO",103,10,1.94776119402985,0.406149028087886
145,"Private",1999,"PWSI",123,4,2.40689655172414,1.27417509294747
145,"Private",2007,"NG",30,11,4.03571428571429,1.93834872177216
145,"Private",2007,"PWSI",125,31,2.80520833333333,1.41200639566664
145,"Private",2008,"NG",28,14,3.30526315789474,1.49609628485845
145,"Private",2008,"PWSI",155,44,2.88240740740741,1.34538523848919
145,"Private",2009,"NG",41,23,4.02692307692308,2.28570473899105
145,"Private",2009,"NORTHEAST",7,4,5.25,1.06066017177982
145,"Private",2009,"PWSI",151,68,2.59642857142857,1.44508664732445
145,"Private",2009,"PWSO",24,10,5.23125,1.5576558242008
145,"Private",2010,"NG",68,36,3.65,1.56473227638922
145,"Private",2010,"PWSI",123,61,3.18666666666667,1.68487455316027
145,"Private",2010,"PWSO",15,5,4.16666666666667,1.56801360538315
145,"Private",2011,"NG",60,26,5.6,3.67695526217005
145,"Private",2011,"PWSI",135,65,2.08072289156626,0.912575801238544
145,"Private",2011,"PWSO",17,9,4.41666666666667,1.01472492167418
145,"Private",2012,"NG",73,30,5.20666666666667,1.62940246131899
145,"Private",2012,"PWSI",158,62,2.62295081967213,0.834544475072669
145,"Private",2012,"PWSO",48,16,3.84444444444444,1.42675892344889
145,"Private",2013,"NG",67,31,10.3,
145,"Private",2013,"PWSI",147,69,2.35555555555556,1.04976187776086
145,"Private",2013,"PWSO",43,17,3.97777777777778,1.44417485978708
145,"Private",2014,"NG",75,35,,
145,"Private",2014,"NORTHEAST",10,6,3.1,
145,"Private",2014,"PWSI",182,71,2.90392156862745,1.4424923964186
145,"Private",2014,"PWSO",48,17,2.85,1.81973310444927
145,"Private",2015,"NG",59,29,4.32727272727273,1.74990908854769
145,"Private",2015,"NORTHEAST",11,7,4.16,0.832466215530697
145,"Private",2015,"PWSI",148,56,2.42876712328767,1.45702126233769
145,"Private",2015,"PWSO",35,10,4.00909090909091,1.72458665604229
145,"Private",2016,"NG",52,27,3.26842105263158,1.83365228485512
145,"Private",2016,"NORTHEAST",5,5,5,
145,"Private",2016,"PWSI",37,16,3,
145,"Private",2016,"PWSO",48,12,2.3,
145,"Private",2017,"NG",20,6,,
145,"Private",2017,"NORTHEAST",6,4,3.06,0.876356092008266
145,"Private",2017,"PWSI",51,22,,
145,"Private",2017,"PWSO",18,4,3.16666666666667,2.2300971578237
145,"Private",2018,"NG",67,30,3.32407407407407,1.653918752446
145,"Private",2018,"NORTHEAST",6,6,3.43333333333333,1.90122767354851
145,"Private",2018,"PWSI",71,35,3.6,1.69213868619961
145,"Private",2018,"PWSO",17,10,3.50769230769231,1.14270259944101
145,"Private",2019,"NG",68,31,3.12982456140351,1.95840358749897
145,"Private",2019,"NORTHEAST",9,7,4.4,0.916515138991168
145,"Private",2019,"PWSI",99,52,2.76585365853659,1.25032190976915
145,"Private",2019,"PWSO",38,20,4.01666666666667,2.38626118106179
145,"Private",2020,"NG",55,24,4.11176470588235,1.64828004127762
145,"Private",2020,"PWSI",77,43,3.10882352941176,1.00735707221657
145,"Private",2020,"PWSO",35,9,3.63125,1.60029945114448
145,"Private",2021,"NG",23,11,3.64210526315789,1.63037684446595
145,"Private",2021,"PWSI",57,33,2.23684210526316,1.24998245601723
145,"Private",2021,"PWSO",23,8,4.88181818181818,1.1703146430069
145,"Private",2022,"NG",39,13,3.26153846153846,1.90138411123622
145,"Private",2022,"PWSI",128,51,3.00425531914894,1.38735868012135
145,"Private",2022,"PWSO",23,7,4.10666666666667,1.75192411229428
145,"Private",2023,"NG",29,12,3.81666666666667,2.16073780889489
145,"Private",2023,"PWSI",34,14,2.87916666666667,1.41451456311887
145,"Private",2023,"PWSO",20,7,4.3375,1.24036285013701
145,"Private",2024,"NG",79,33,3.66734693877551,2.39734121433708
145,"Private",2024,"NORTHEAST",13,8,,
145,"Private",2024,"PWSI",48,20,2.385,1.06882867515898
145,"Private",2025,"NG",51,19,5.08333333333333,1.76575162123068
145,"Private",2025,"NORTHEAST",16,11,5.5,5.65685424949238
145,"Private",2025,"PWSI",35,15,2.40625,1.0135539781712
