YEAR,CFMU,Assemblage,USER,RelCat,avg_WtKg,SE_WtKg,var_WtKg,P_Rel,PcatSurface,PcatDRM,Mort_rate
2000,CI,Black,Private,3,2.2,NA,NA,0.025423729,1,0,0.034915254
2000,CI,Black,Private,4,2.2,NA,NA,0.01059322,1,0,0.034915254
2000,CI,Black,Private,2,2.2,NA,NA,0.146186441,1,0,0.034915254
2002,CI,Black,Private,1,1.85,0.15,0.045,0.81779661,1,0,0.034915254
2002,CI,Black,Private,3,1.85,0.15,0.045,0.025423729,1,0,0.034915254
2002,CI,Black,Private,4,1.85,0.15,0.045,0.01059322,1,0,0.034915254
2002,CI,Black,Private,2,1.85,0.15,0.045,0.146186441,1,0,0.034915254
1997,CI,Black,Private,1,1.3,0.3,0.18,0.81779661,1,0,0.034915254
1997,CI,Black,Private,3,1.3,0.3,0.18,0.025423729,1,0,0.034915254
1997,CI,Black,Private,4,1.3,0.3,0.18,0.01059322,1,0,0.034915254
1997,CI,Black,Private,2,1.3,0.3,0.18,0.146186441,1,0,0.034915254
2001,CI,Black,Private,1,2.333333333,0.260341656,0.406666667,0.81779661,1,0,0.034915254
2001,CI,Black,Private,3,2.333333333,0.260341656,0.406666667,0.025423729,1,0,0.034915254
2001,CI,Black,Private,4,2.333333333,0.260341656,0.406666667,0.01059322,1,0,0.034915254
2001,CI,Black,Private,2,2.333333333,0.260341656,0.406666667,0.146186441,1,0,0.034915254
2017,CI,Black,Private,1,1.88,0.208593171,0.435111111,0.81779661,0.992227979,0.007772021,0
2017,CI,Black,Private,3,1.88,0.208593171,0.435111111,0.025423729,0.666666667,0.333333333,0.063061956
2017,CI,Black,Private,4,1.88,0.208593171,0.435111111,0.01059322,1,0,0.008602151
2017,CI,Black,Private,2,1.88,0.208593171,0.435111111,0.146186441,1,0,0.017806452
2021,CI,Black,Private,1,1.136842105,0.079916084,0.121345029,0.81779661,0.992227979,0.007772021,0
2021,CI,Black,Private,3,1.136842105,0.079916084,0.121345029,0.025423729,0.666666667,0.333333333,0.063061956
2021,CI,Black,Private,4,1.136842105,0.079916084,0.121345029,0.01059322,1,0,0.008602151
2021,CI,Black,Private,2,1.136842105,0.079916084,0.121345029,0.146186441,1,0,0.017806452
2018,CI,Black,Private,1,0.986666667,0.076778574,0.265272727,0.81779661,0.992227979,0.007772021,0
2018,CI,Black,Private,3,0.986666667,0.076778574,0.265272727,0.025423729,0.666666667,0.333333333,0.063061956
2018,CI,Black,Private,4,0.986666667,0.076778574,0.265272727,0.01059322,1,0,0.008602151
2018,CI,Black,Private,2,0.986666667,0.076778574,0.265272727,0.146186441,1,0,0.017806452
2010,CI,Black,Private,1,2.1125,0.140497628,0.315833333,0.81779661,1,0,0.034915254
2010,CI,Black,Private,3,2.1125,0.140497628,0.315833333,0.025423729,1,0,0.034915254
2010,CI,Black,Private,4,2.1125,0.140497628,0.315833333,0.01059322,1,0,0.034915254
2010,CI,Black,Private,2,2.1125,0.140497628,0.315833333,0.146186441,1,0,0.034915254
2006,CI,Black,Private,1,1.9,0.3,0.18,0.81779661,1,0,0.034915254
2006,CI,Black,Private,3,1.9,0.3,0.18,0.025423729,1,0,0.034915254
2006,CI,Black,Private,4,1.9,0.3,0.18,0.01059322,1,0,0.034915254
2006,CI,Black,Private,2,1.9,0.3,0.18,0.146186441,1,0,0.034915254
2007,CI,Black,Private,1,2.316666667,0.338049963,0.685666667,0.81779661,1,0,0.034915254
2007,CI,Black,Private,3,2.316666667,0.338049963,0.685666667,0.025423729,1,0,0.034915254
2007,CI,Black,Private,4,2.316666667,0.338049963,0.685666667,0.01059322,1,0,0.034915254
