"","port_site","RptArea","Freq"
"211","OLD HARBOR","ALEUTIAN",0
"212","ORR ISLAND","ALEUTIAN",0
"213","PARKS CANNERY","ALEUTIAN",0
"214","PATTERSON BAY","ALEUTIAN",0
"215","PAYNE ISLAND","ALEUTIAN",0
"216","PELICAN","ALEUTIAN",0
"217","PETERSBURG","ALEUTIAN",0
"218","PINTA ROCKS","ALEUTIAN",0
"219","POINT ASTLEY","ALEUTIAN",0
"220","POINT ASTLY","ALEUTIAN",0
"221","POINT BAKER","ALEUTIAN",0
"222","PORT ALEXANDER","ALEUTIAN",0
"223","PORT ASHTON","ALEUTIAN",0
"224","PORT LIONS","ALEUTIAN",0
"225","PORT MALMESBURY","ALEUTIAN",0
"226","PORT MALMSBURY","ALEUTIAN",0
"227","PORT MULMSBURY","ALEUTIAN",0
"228","PORT PROTECTION","ALEUTIAN",0
"229","PORT ST NICHOLAS","ALEUTIAN",0
"230","PORT WAKEFIELD","ALEUTIAN",0
"231","PORT WALTER","ALEUTIAN",0
"232","PYBUS BAY","ALEUTIAN",0
"233","PYBUS POINT LODGE","ALEUTIAN",0
"234","SALMON FALLS","ALEUTIAN",0
"235","SALMON FALLS RESORT","ALEUTIAN",0
"236","SAND POINT","ALEUTIAN",0
"237","SARKAR COVE","ALEUTIAN",0
"238","SAXMAN SEAS","ALEUTIAN",0
"239","SEAL BAY (SC)","ALEUTIAN",0
"240","SEALING COVE","ALEUTIAN",0
"241","SECURITY BAY","ALEUTIAN",0
"242","SELDOVIA","ALEUTIAN",0
"243","SEWARD","ALEUTIAN",0
"244","SILVER KING LODGE","ALEUTIAN",0
"245","SILVER SALMON CREEK","ALEUTIAN",0
"246","SITKA","ALEUTIAN",0
"247","SKAGWAY","ALEUTIAN",0
"248","SPORTSMAN COVE","ALEUTIAN",0
"249","SQUARE COVE","ALEUTIAN",0
"250","STEAMBOAT BAY","ALEUTIAN",0
"251","SUNNYSIDE","ALEUTIAN",0
"252","TENAKEE","ALEUTIAN",0
"253","THOMAS BASIN","ALEUTIAN",0
"254","THORNE BAY","ALEUTIAN",0
"255","TUTKA BAY","ALEUTIAN",0
"256","UGAK BAY","ALEUTIAN",0
"257","UGANIK BAY","ALEUTIAN",0
"258","UNKNOWN","ALEUTIAN",0
"259","VALDEZ","ALEUTIAN",0
"260","WADLEIGH ISLAND","ALEUTIAN",0
"261","WARM SPRINGS BAY","ALEUTIAN",0
"262","WATERFALL","ALEUTIAN",0
"263","WHALE PASS (POW - SE)","ALEUTIAN",0
"264","WHALE PASS (SC)","ALEUTIAN",0
"265","WHALERS COVE","ALEUTIAN",0
"266","WHITTIER","ALEUTIAN",0
"267","WILLIAMSPORT","ALEUTIAN",0
"268","WINTER HARBOR","ALEUTIAN",0
"269","WRANGELL","ALEUTIAN",0
"270","YAKUTAT","ALEUTIAN",0
"271","YES BAY","ALEUTIAN",0
"272","YOUNG BAY","ALEUTIAN",0
"273","YOUNGS BAY","ALEUTIAN",0
"274","ZACHAR BAY","ALEUTIAN",0
"275","ADAK","CHIGNIK",0
"276","AFOGNAK","CHIGNIK",0
"277","AFOGNAK BAY","CHIGNIK",0
"278","ALIKULA BAY","CHIGNIK",0
"279","AMOOK PASS","CHIGNIK",0
"280","ANCHOR POINT","CHIGNIK",0
"281","ANGOON","CHIGNIK",0
"282","ANTON LARSEN BAY","CHIGNIK",0
"283","APPLE ISLAND","CHIGNIK",0
"284","AUKE BAY","CHIGNIK",0
"285","BARANOF WILDERNESS LODGE","CHIGNIK",0
"286","BARTLETT COVE","CHIGNIK",0
"287","BAY OF PILLARS","CHIGNIK",0
"288","BLANK","CHIGNIK",0
"289","BROTHERS ISLANDS","CHIGNIK",0
"290","CANNERY COVE","CHIGNIK",0
"291","CEDARS LODGE","CHIGNIK",0
"292","CHAPIN BAY","CHIGNIK",0
"293","CHIGNIK BAY","CHIGNIK",18
"294","CHUM CHANNEL","CHIGNIK",0
"295","CHUM COVE","CHIGNIK",0
"296","CITY FLOAT","CHIGNIK",0
"297","CLOVER PASS","CHIGNIK",0
"298","COFFMAN COVE","CHIGNIK",0
"299","CORDOVA","CHIGNIK",0
"300","CRAIG","CHIGNIK",0
"301","CUBE COVE","CHIGNIK",0
"302","DEEP COVE","CHIGNIK",0
"303","DEEP CREEK","CHIGNIK",0
"304","DOVE ISLAND LODGE","CHIGNIK",0
"305","DUTCH HARBOR","CHIGNIK",0
"306","EGG HARBOR","CHIGNIK",0
"307","EL CAPITAN LODGE","CHIGNIK",0
"308","ELFIN COVE","CHIGNIK",0
"309","ELIZA HARBOR","CHIGNIK",0
"310","ELL COVE","CHIGNIK",0
"311","EXCURSION INLET","CHIGNIK",0
"312","EXPLORER BASIN","CHIGNIK",0
"313","FARRAGUT BAY","CHIGNIK",0
"314","FISHERMANS BEND","CHIGNIK",0
"315","FREDRICK SOUND","CHIGNIK",0
"316","GEDNEY HARBOR","CHIGNIK",0
"317","GEDNEYHARBOR","CHIGNIK",0
"318","GULL COVE","CHIGNIK",0
"319","GUSTAVUS","CHIGNIK",0
"320","GUT BAY","CHIGNIK",0
"321","HAINES","CHIGNIK",0
"322","HALIBUT COVE","CHIGNIK",0
"323","HAPPY VALLEY","CHIGNIK",0
"324","HOLKAM BAY","CHIGNIK",0
"325","HOMER","CHIGNIK",0
"326","HOONAH","CHIGNIK",0
"327","IRON CREEK","CHIGNIK",0
"328","JUNEAU","CHIGNIK",0
"329","KAKE","CHIGNIK",0
"330","KELP BAY","CHIGNIK",0
"331","KETCHIKAN","CHIGNIK",0
"332","KHAZ BAY","CHIGNIK",0
"333","KILIUDA BAY","CHIGNIK",0
"334","KILLISNOO","CHIGNIK",0
"335","KLAWOCK","CHIGNIK",0
"336","KNUDSON COVE","CHIGNIK",0
"337","Kodiak","CHIGNIK",0
"338","KODIAK","CHIGNIK",0
"339","LARSEN BAY","CHIGNIK",0
